"time","CNA","EAS","ECA","ENA","ESB","GIC","MED","NCA","NEAF","NEN","NEU","NWN","NWS","NZ","SAH","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF"
3200,0.669509336917443,-1.36151197397458,-0.291993581817233,0.489425037732646,-0.881400256273942,0.5903553491871,-0.196939828667553,-0.129927905902331,0.829361521437241,0.488313119343852,0.272928861147898,-0.020731098720412,1.6986035665496,-1.2751509209855,-1.35266599509998,-1.61973278587954,-1.10168228216249,0.28747695400693,0.691223781199468,-0.415954018095648,-1.09068569985188,0.0829160712450615,-0.114384074513484,0.429220531647261,0.0479596286786028
3300,0.488424061473452,-1.20897131266759,-0.346568203025469,0.558383342000043,-1.12599112894943,0.714724672072879,-0.0727835917856547,0.0248041372812319,-0.203540337342848,0.483111339079875,0.382796173454949,0.218105606376367,1.82272548191838,-1.19876965650259,-1.38969117288825,-1.75107021976988,-0.864723790048352,-0.267859041913114,0.27044992849593,-0.467412778160525,-1.112077177357,0.329084899419005,-0.0570409983006727,0.194071667047896,0.466811893080855
3400,0.232941171550506,-1.21275279735272,0.0129173859524079,0.669463211660713,-1.12390570986812,0.635895997428776,-0.0839072848639653,-0.179997580950344,-0.395294802017169,0.30141514060942,0.660314883120168,0.237146443976707,1.27160213293142,-0.930675186821775,-0.895009611431607,-1.12198638306922,-0.734578201518057,0.138708820926016,0.16853956340644,-0.377283592980465,-1.15585273707465,0.0434596797396314,0.0889481279239206,-0.0376519466594308,0.563092351758313
3500,0.291010631765356,-1.17242432824168,-0.0128411403016844,0.6592860395435,-1.18118826636804,0.532232546647657,0.127672188880913,0.0376540931911107,-1.53939347362283,0.0240029394661153,0.446983387459748,0.13425173967025,0.370274974588802,-0.537757602805365,-0.192520298631595,-1.77313309285545,-2.08728863524546,-0.404670961358818,-0.0317668166073575,-1.84261518260723,-1.23205591265559,-0.15437054787222,0.186739418713138,0.22936532452786,0.385724118111806
3600,0.0863943256084718,-1.19053138098486,0.152347024997153,0.702747063847011,-0.937652076146614,0.0769755133470246,0.248639422794617,0.0337752610794818,-2.03188752234569,0.0660859527356001,0.36964539762252,0.0603301862028883,0.169348383879167,-0.486705826913244,-0.34943297723557,-1.28866310595336,-0.962718708475872,-0.131357252813896,0.358072758403809,-1.57251524272594,-1.14476917815052,0.204694732663654,0.0933224310329409,0.200184665784432,0.285253088142602
3700,0.221040660178398,-1.08852107779398,0.280555395262891,0.767751989294482,-0.682941118794707,0.263509016563057,0.133435780032613,0.180476301160612,-1.92611565169702,-0.074236110783263,0.0824467845017195,0.197797274867351,0.693501139817138,-1.09551083648743,-0.46778939186815,-0.980113026243177,-1.09000156769409,-0.0324139783737489,0.142390271429572,-1.48177061485817,-0.916517693376075,0.20998349504941,-0.0139538996797543,0.184418750065084,0.437722495563621
3800,0.197071899574046,-0.875055538082869,0.118770180699565,0.485544460653502,-0.809891764511119,0.522933066481795,0.0371575337392902,-0.167484546647238,-0.833021873988989,-0.0409198684214014,-0.0195994179292626,0.232470822891932,0.364041244172573,-0.826934353940987,-0.786711046906574,-0.667139537763701,-0.699739658839999,-0.0582641193209804,0.0251846701417859,-0.819711209661536,-1.29617294210256,0.123666549684051,-0.0636852633012757,0.229232634093847,0.224965046607274
3900,0.0610833406611683,-0.606504897270737,-0.0632731891589195,0.38143772259126,-0.188906670166992,0.341013211085995,-0.307566840113805,-0.750460689900686,-0.142396295253094,0.185385953218439,0.0605510775927866,0.320678050649023,0.773265520120457,-0.252529040721213,-0.718668663608396,-1.76113413023874,-0.675330473373251,-0.264853837048116,0.247195419022426,-1.23330785029277,-0.906995917087619,-0.128623600228212,-0.0705640796316203,0.209896715846088,0.0704481698320061
4000,-0.152301560854901,-0.839610853397289,0.0294700062491177,0.0834448825850006,0.0377062462579233,0.531182931549969,-0.318061745229299,-0.24983501188009,0.350256141085126,0.273069136852776,0.0761654882761458,0.305093449155763,0.48224841243611,0.0197008910611445,-0.149341881344669,-3.25982131721381,-1.38395288010928,0.00267188344269021,0.685966921441233,-1.5475567703403,-0.955299476404954,-0.214371991146427,0.162954857395388,0.158524438769348,0.0257833453017347
4100,-0.0492579452977399,-0.76958135042488,0.143519850230274,0.181330236668573,-0.0806946975427728,-0.163028439126794,-0.21195764101965,-0.183774788904643,0.299743853644182,0.155678952228308,-0.156429611589934,0.541971978973562,0.405285109620343,-0.217918996728831,-0.311335822901496,-2.43931830164052,-0.251827851051344,0.213135061327209,0.582230828451978,-1.34981652162245,-0.752972539939659,-0.147988057047734,0.0832661777325771,0.0377800378038276,0.0778086491376009
4200,-0.380423302995492,-0.591427588175607,-0.108349015375216,0.316883382612734,0.0530945045920813,-0.211896301699061,0.0964874632244891,0.272499000926083,0.422131423454796,-0.027712113329784,-0.186067011052379,0.179680971122609,0.326094065645438,0.178365395488954,-0.536783163337371,-2.23712802122143,-0.0293376821482231,0.0476149772866748,-0.0427731688043441,-1.00793280655577,-1.07553478382492,0.436274445559865,0.0126540933708611,0.164337568965218,-0.00524171013055131
