time,ARO,CAF,CAR,CNA,EAS,ENA,EPO,ESAF,GIC,MED,NAO,NCA,NEAF,NEN,NES,NEU,NSA,NWN,NWS,NZ,RAR,RFE,SAS,SAU,SCA,SEA,SEAF,SOO,SWS,WCE,WNA,WSAF
3800,-0.314608962,-0.004749416,0.397943116,0.011603693,-0.369212433,0.011835708,0.025141098,-0.11650721,-0.014096755,-0.07730011,-0.152758269,-0.161040404,0.068891566,-0.058655622,0.229162021,-0.122343821,-0.315982374,0.228340266,-0.486599844,-0.088812835,0.231190695,-0.366664304,0.07835058,-0.452325508,0.569927922,0.052172733,-0.372411239,-0.069298678,-0.054600557,0.166488698,-0.257522712,0.208951132
3900,-0.269472286,-0.174678725,0.533520906,0.122496661,-0.157139335,0.046320404,0.120944247,-0.073853859,-0.138950332,-0.014436027,-0.263438393,0.424614128,-0.280879286,0.088763503,0.057269498,0.063333051,-0.193162741,0.1222933,-0.375363589,-0.034455719,0.162531405,-0.475888718,-0.255128841,-0.443958161,0.569927922,0.067779991,-0.01377188,0.091550637,0.065239951,0.1628422,-0.185117954,0.153620899
4000,-0.229746717,0.370175863,0.812103204,-0.016676829,-0.146644991,-0.183684548,0.082683693,-0.226052296,0.019586445,-0.11830202,-0.143998948,0.582996821,-0.272126398,0.174210135,0.307211775,0.021899836,-0.31345415,-0.074644428,-0.37512576,0.054278756,0.084083435,-0.312060246,-0.284134602,-0.416386733,0.646778977,0.134819188,-0.08831105,-0.295047088,-0.096025347,-0.127029169,-0.10288957,0.213383378
4100,-0.227171052,0.201738695,0.773876939,-0.077102483,-0.132397411,-0.119693108,0.179152217,-0.040315538,0.029823734,-0.126991892,0.094797016,1.2854387,-0.416735483,0.001434243,0.279362024,0.084112885,-0.31345415,-0.126220638,-0.304842651,-0.055407494,0.007634183,0.748505887,-0.177415768,-0.070461965,-0.126400013,-0.025501959,-0.048726597,-0.095538173,-0.074850404,0.014586206,-0.1478554,0.276154807
4200,-0.162006539,0.296535771,0.436246675,0.357208891,-0.162377218,-0.09481562,0.230702373,0.008592941,0.048265266,-0.356247107,-0.173966863,-0.288378623,-0.022330054,-0.000406784,-0.070174408,0.126645864,-0.218382989,-0.269340066,-0.239902724,0.0262363,-0.220665502,0.780370459,-0.149193037,0.048871368,-0.126400013,0.03238883,-0.275049161,-0.196337467,-0.135990243,0.055646759,-0.263315687,0.035352858
4300,-0.166279686,0.413805177,0.421219679,0.55478942,-0.357808107,-0.07103375,0.230702373,-0.125154509,0.232980793,-0.483966333,0.073603773,-1.516112233,-0.097146904,0.166557058,0.029650268,0.167736531,0.022862785,0.337260007,-0.179019088,0.071349142,-0.158850071,-0.456857201,-0.450827572,0.106657776,-0.148512052,-0.03771543,-0.242032313,0.050911845,-0.164904204,0.049546111,-0.360869126,0.014556275
4400,-0.489517517,-0.125445531,0.651235392,0.384281476,-0.344041343,0.083682334,0.129073354,-0.188435752,-0.197087033,-0.544865671,-0.134980261,-0.856155018,0.408219511,0.343998407,0.255723639,0.058385542,0.022862785,0.373422911,-0.133678218,0.089473732,-0.374058985,-0.268812735,-0.541062534,0.250084812,0.383776069,-0.010841115,-0.044253651,0.23746608,-0.483408156,0.196033756,-0.26520097,0.207946274
4500,-0.107297823,-0.175762414,0.332966011,0.516186766,-0.268557178,0.129711325,0.120946199,-0.180198264,0.115265565,-0.35688131,-0.197973669,-1.460331154,0.368360748,0.267744733,0.200517464,0.172821829,0.022862785,0.203694356,-0.386035597,0.042145818,-0.185871516,-0.316597251,-0.243283713,0.549084812,0.448794967,-0.058667674,-0.14194211,-0.218333208,-0.249589202,0.189168357,-0.135923628,0.188125367
4600,0.074323166,-0.261912743,-0.137230418,0.218723056,-0.339426828,0.166182539,-0.100610734,0.127661505,0.242653238,0.151147698,0.096223954,-1.271135228,0.396578724,0.383630975,0.092486233,0.289749972,0.138823719,0.172941241,-0.329728291,0.141564838,0.03296784,0.023076796,-0.384665882,0.557537193,0.70887056,-0.044206504,-0.210515259,-0.095333622,-0.255013168,0.103200459,-0.065514721,0.282841639
4700,-0.298145168,0.553748976,-0.032951132,0.16418681,-0.345984758,0.217909062,-0.029338571,0.095517066,0.235989157,-0.16936852,-0.101240606,-1.942571569,0.134943043,0.313370088,0.156297019,0.276429619,0.116516114,0.379682984,-0.43869036,0.077516926,0.059504947,-0.024816252,-0.290852946,0.282501848,0.650695056,-0.134905056,-0.192032309,-0.145265508,-0.239851185,0.190291973,-0.138901261,0.000267738
4800,-0.182501732,-0.271738598,0.138589163,0.316356016,-0.114011941,0.032314631,-0.103861615,0.109100264,0.185494012,-0.294325694,-0.163850192,-1.076142477,-0.014208574,0.235957894,-0.099121587,0.234648264,0.131418028,0.36650002,-0.711898473,-0.079909324,0.011796097,-0.429388456,0.049792431,0.252274403,0.304459142,0.005100483,-0.246496111,-0.116998894,0.100868449,0.247356675,-0.293791958,-0.07288353
4900,-0.162959547,-0.444567841,0.12120767,0.434468963,0.140099391,-0.059495205,-0.149250044,0.19930145,-0.205509811,-0.480593922,-0.099907502,-0.801785934,0.42874622,0.018963417,-0.053586041,0.233199713,0.098913756,-0.060595613,-0.567572781,-0.155832512,-0.042323627,-0.187036734,-0.008283377,0.301402975,0.304459142,0.038480249,-0.350806133,-0.247387889,0.202065166,0.458137814,-0.104327431,-0.078974884
5000,-0.028025654,-0.248825923,0.24293417,0.350586506,0.076101214,-0.046880353,0.026110815,0.201825984,-0.105682556,-0.046756404,-0.252057121,-2.157159023,0.11927908,0.134641712,-0.083205272,0.19468379,-0.026681062,-0.039177288,-0.240864905,-0.1081653,0.172056251,-0.003365943,0.136169882,0.413262804,-0.100987151,0.138074531,-0.142238055,-0.098482282,0.359648586,0.49458091,-0.232967684,0.296586775
5100,0.23282253,0.728835137,-0.008926255,0.017168188,-0.251836056,0.100616322,0.043338821,0.197875528,-0.079671994,-0.248432821,-0.06684086,-1.331000978,0.153390476,0.077731839,-0.136336726,0.269969323,-0.494444958,0.003916983,-0.008422967,0.08815561,0.175658488,-0.176262508,0.123651162,0.344552402,-0.267142952,0.094992669,-0.07699886,0.189654943,0.253234544,0.426396535,-0.126502002,0.244742352
5200,0.279971514,0.101816645,-0.05473998,0.353872421,-0.1744279,0.019149999,0.220848007,0.008773006,0.131262322,-0.138840399,0.050110266,-1.487068044,-0.005198767,-0.093344998,-0.13204028,0.360614313,-0.43842828,0.386210111,-0.505640781,0.214907014,0.218645406,-0.032202577,0.22503348,0.200247664,-0.073388504,0.02014548,-0.047075172,0.153753137,0.305777555,0.483765553,-0.072139582,0.072907426
5300,0.271325356,-0.454905146,0.369607189,0.470305061,-0.192525994,0.059847822,0.276168022,0.01240307,0.361412419,-0.058896739,0.14749294,-1.525259075,0.060741011,-0.075387948,-0.229233864,0.25349149,-0.425374065,0.328511643,-0.559558804,0.04024361,0.147238619,0.865124759,0.221915631,0.266767401,-0.073388504,-0.000362573,-0.095492116,-0.013842333,0.256267623,0.556772343,0.136758848,0.071586589
5400,0.15130071,0.485127753,0.220257241,0.005137789,-0.028912413,0.074561791,0.032328875,0.075900651,0.257458087,0.009362245,0.202811402,-1.453498491,0.027902499,0.052527586,-0.262966112,0.405462248,-0.388315732,0.101933373,-0.420519316,-0.29459833,-0.201102621,-0.267748608,0.219741116,-0.017534289,0.042978555,-0.022527263,-0.034817334,0.002328078,0.213636476,0.413692082,-0.075209588,-0.078745115
5500,0.034732021,-0.167845088,0.356075779,0.154612039,0.152336797,0.194276535,0.068290088,0.058467061,0.082387876,0.028976056,-0.030938187,0.059303921,0.330961157,-0.153256326,-0.251810249,0.144081304,-0.097124233,0.71644375,-0.285131959,-0.334636694,-0.233691217,0.668533487,0.383878963,-0.017534289,-0.084369401,0.078075708,0.086211144,-0.032070837,-0.178783704,0.334308659,-0.130351265,-0.120489823
5600,0.290805623,0.304351187,-0.063673713,0.163009371,0.408617096,0.180062042,0.077085199,0.184490938,0.144500227,-0.085314323,0.108154949,-0.289705227,0.227629932,-0.033013742,0.001546983,0.192904011,-0.157894987,0.16672378,0.001908506,-0.142111233,0.065628633,0.081359522,0.29431671,-0.017534289,-0.178442243,0.03731029,0.193093713,0.126670829,-0.073970794,0.224478266,-0.205034096,0.059036923
5700,0.451781636,0.805419107,-0.11867335,-0.242154851,0.356439397,0.132143405,-0.079555954,0.155288468,0.346353735,-0.012661308,0.132340059,-0.786792278,0.006149139,0.35145556,-0.023468405,0.272273637,-0.120513164,0.025686327,0.109876839,-0.119443473,0.071911568,-0.066576453,0.360112483,0.44927525,0.031300947,-0.011537329,0.208975946,0.124363871,0.102425079,0.168253102,-0.31197112,0.204204071
5800,0.437396064,-0.171600656,0.051635242,-0.006536881,0.228870784,0.009679426,-0.014065607,0.141169447,0.500769851,0.294082458,0.327996978,-0.209806532,0.074566695,0.185679659,0.012843822,0.277743429,-0.1840265,-0.020208668,-0.261526394,-0.166108322,0.168571607,0.305883717,0.292868395,0.44927525,0.18557373,0.075150595,0.565605745,0.024630922,-0.094775539,0.111134719,-0.082723343,-0.14606711
5900,-0.048079399,0.289490038,0.120019092,0.32837204,0.401379943,0.028880374,-0.140785241,0.131110451,0.570836768,0.094831755,0.073485338,1.85163588,-0.005763519,0.1333833,0.071649532,0.256266682,-0.074249809,-0.17090807,0.039084699,-0.104499268,0.23003634,0.416200085,0.237609568,0.696270882,0.177252765,0.076828194,0.550641317,0.095536594,-0.128510489,0.353056287,0.147071818,-0.029236357
6000,0.045074779,0.337267019,0.047364551,0.269655818,0.513272562,0.168805884,0.01544866,0.181392858,0.505751892,-0.028543278,0.085636322,1.891324442,0.249616786,0.306328159,0.127529055,0.324016048,-0.098910667,-0.087144636,-0.033550754,-0.190467722,0.347847022,0.107894948,0.495429414,0.696270882,0.194928359,0.091804193,0.236842024,0.159706108,-0.122055311,0.415733434,0.082376492,0.149710999
6100,-0.205103418,0.215939083,0.124344096,0.311741976,0.405619533,0.188821205,0.018734436,0.28506727,0.496604234,-0.034222777,0.221828644,1.804296829,0.078765144,0.109900925,-0.035270631,0.258595993,-0.269735186,-0.238897959,-0.140437723,-0.175555267,0.174171636,0.582146246,0.125876546,0.344014173,0.149165761,0.051082829,0.379232019,0.171310301,0.106180125,0.572528992,0.009931846,-0.04693409
6200,0.057065711,-0.050963356,0.120518484,0.149114238,0.453261754,0.188895842,-0.072132519,0.190617104,0.348195501,-0.064285462,0.206114146,1.579886949,0.388527864,0.156896338,-0.007263392,0.211826914,-0.30969014,0.098727506,-0.100649638,-0.256009644,0.242986517,-0.005850439,0.142929715,0.081009858,-0.119036226,0.057571023,0.245351772,0.194184581,0.18800369,0.657404226,0.077309993,-0.173348856
