"time","ARO","CAF","CAR","CNA","EAN","EAS","ENA","EPO","ESAF","GIC","MED","NAO","NCA","NEAF","NEN","NES","NEU","NSA","NWN","NWS","NZ","RAR","RFE","SAS","SAU","SCA","SEA","SEAF","SOO","SSA","SWS","WAN","WCE","WNA","WSAF"
7200,0.988467070443047,0.734829460808457,-0.149159395112323,-0.0926897042894962,-0.577083013617584,0.50744490020474,0.399688202709731,-0.0658148297006436,0.252167762385846,0.329659074711519,0.618788793428736,0.573566879116883,0.123013810433846,-0.304102916368281,-0.527664645583135,0.195194177071188,0.400792693655577,0.505611627967168,-0.000967307575442885,1.16880846283364,-0.30587954993579,0.364433022061641,0.128185700527641,0.597224091051699,0.811229789153182,-0.0514300093991228,0.265518362558585,0.49620103228671,0.51085282007956,0.541050779505875,-1.38041548704323,-0.266498043736568,0.61646718115999,0.418757348596659,-0.13356336867975
7300,0.831678015097739,0.544386276532308,0.0396632090436395,-0.198259181261161,-0.0966372631816908,0.346607923138875,0.296330061057217,-0.243748683025195,0.564972233692758,0.402737514731627,0.838851260212093,0.503634546457321,-0.581924794832839,-0.311110983191351,-1.24974201912846,-0.0697704254773728,0.471076046035782,0.651156210261776,0.216413931927709,1.16466994369321,-0.148457253952286,0.13800729483458,0.590172173136775,0.634039222261634,0.765673207279597,-0.14151573545935,0.12667529848002,0.273488873001217,-0.155131617111723,0.278257307539614,-0.957608192244995,-0.391333612768512,0.694426685754355,0.420601670839268,-0.00412663909627061
7400,1.17637707153316,0.799658871724555,-0.392718950161431,-0.101652240315138,-0.677416201233128,0.364753951411027,0.227155789457858,-0.370149397009814,0.422071621709893,0.392422087288154,0.816638893739336,0.622072374347959,-0.34711078981546,-0.54858623149198,-1.56132580099567,-0.186021094483257,0.368785485493628,0.600793864966722,0.147248809555944,0.887435139723443,-0.0301519797237081,-0.0130850791694617,0.678500193546403,0.209332365725141,0.733840306257858,-0.402957285727883,0.00594046622792163,0.486452879876836,0.0727861238067159,-0.374120170316246,-0.39945302218058,-0.0549324248298313,0.776635622608786,0.38074305586425,0.512527401202336
7500,1.00879707927463,0.558783167244897,-0.715310746402856,-0.14206572025371,-0.594392090155964,0.250014508814475,0.144873530129487,-0.284527575203164,0.302400879624207,0.345762545939742,0.842970663584931,0.690588123406343,-0.424270706985898,-0.977370145480811,-1.43434586467717,-0.409521120124889,0.507859006758354,0.0965712326682632,-0.0547155706681989,0.644506840721122,0.0673426629835229,0.16572892625234,0.588873563677474,0.745094629850616,0.551291060063824,-0.033821175111789,-0.00256494750737916,0.774055527348805,0.150625093651078,-0.706809566819943,-0.67985572313405,-0.247972828612825,0.507143418649901,0.33912256478962,0.416721201261838
7600,0.791862183414419,0.33443293858351,-1.04426944440047,0.136484704968667,-0.399655578884399,0.20352743296994,0.255504835121572,-0.18027434155633,0.18588167514502,0.804164153744692,0.838380287760931,0.596656221744599,-0.31028377279858,-0.80316149763171,-0.969506794631487,-0.442185922210298,0.478647498341516,-0.0535184435075288,0.0510849813901664,0.200823512222499,0.0413955345636764,0.240497392115291,0.0993495255144406,0.156351211648337,0.14871555353251,-0.21184386872757,-0.121474092597993,0.885250162936013,-0.161527810493524,0.0586208732674536,-1.23531041158629,-0.354393271954226,0.336068222686454,0.434290933184435,0.542520291845111
7700,1.37085388594219,0.188062580502593,-0.711585107861343,-0.039066241420371,-0.476500746680768,0.112693260560766,0.14127799821368,0.00719507142770248,-0.268653412048642,0.922275380800224,0.678820610601151,0.767148910829273,-0.43498731480915,-0.723898407228125,-0.772103921099062,-0.316535177817849,0.373680742217846,0.301348875393403,0.155038701403624,0.436524349224153,0.165198811946499,-0.287595550368194,0.492524269755591,0.0614638683026781,-0.0352916799695131,-0.628281484836006,0.157673453315173,1.11246418643903,-0.318687225832493,0.143916777746296,-1.09381321032728,-0.419049018689462,0.542899546827745,0.743178466976487,0.312615416983974
7800,1.54503699280996,-0.0890576913572994,-0.993703387576292,0.206484320714258,-0.653359123930609,0.2978871290341,-0.202647577153731,-0.126049845538813,-0.102761086007089,0.668293568225595,0.913125056390398,0.927861421776353,-0.538278987861899,-0.685249899317229,-0.751417633557889,0.141834962863441,0.114049994519665,0.785970614427342,-0.0946788815091371,-0.0253820382065309,0.561653192081593,-0.00980699036462303,0.618178283244648,0.283473427053628,-0.0697291844298741,-0.455281581785496,0.10939840236399,1.07518287731171,-0.408486333764554,-0.238882086518323,-0.801724902981875,-0.961899177516126,0.727996053899708,0.581144943186019,0.523924194314654
7900,1.99087143992278,0.317709113366935,0.0434993569493876,-0.141874198620187,-1.2097403849219,0.455222205686363,-0.175036011554349,-0.263125080584948,-0.0228160309503832,0.634691193945795,0.926848759542655,0.871904021044257,-0.625293957254328,-0.827132763322918,-0.656032557842191,0.408337758463454,0.190169174338899,0.785970614427342,-0.489069589429136,-0.172442896200415,0.585410983596369,0.235121227058263,0.581727145573567,0.780306312169831,0.0311484533170606,-0.268594033510554,0.195599505473081,0.272321324623108,-1.4127377282817,-0.337462047564366,-0.686492294551042,-1.20862652621654,0.758315023863924,0.732688438825036,0.477670088182911
8000,1.84916225678242,0.456976303854075,-0.135687293005544,0.0139774182594897,-1.20945864453631,0.432126312940052,-0.066232868558691,-0.62016937147984,-0.353513088701018,0.38158522550519,0.938148988101688,0.532018522478199,-0.645833704402005,-0.782941239736347,-0.609830055235322,0.247882080637389,-0.0882450674064452,0.597214009889834,-0.315193495280421,-0.0830841841061125,0.684991284200071,0.0731306035408467,0.0632249335828714,0.506375438611348,0.175112530046407,0.135816390070725,0.288521629640933,0.171819956212688,-1.43119826114137,-0.641180244827997,-0.516107140007603,-0.584163216722794,0.56595994455729,0.639419982134613,0.388977101713555
8100,1.59832665526887,-0.312636425170146,-0.577436045576092,0.335091420094721,-1.02190957983175,0.433996467395276,-0.221191871211483,-0.466572513095624,-0.49241550770423,-0.637683755465597,0.627982884826816,0.285314977085613,-0.437525316715424,-0.870072623971061,-1.3660699747088,0.000730635493628867,-0.104981883830078,0.401461724869195,-0.104488660471788,-0.393627674961826,0.410764471541681,0.221252169303561,0.443786404580148,-0.468033782463242,0.236753292661036,-0.389992205610881,-0.0793398708239681,0.0785344365236332,-1.19053110285297,-0.525434018308174,-0.706131583059199,-0.22748624036393,0.387598798416863,0.475513457004749,-0.106422519368089
8200,1.14061473316514,-0.21358139554282,-0.927055814442887,0.598993304304604,-0.932847553024473,0.0716855456380391,-0.452734828730653,-0.475991210677235,-0.543056920360975,-1.18205763750535,0.486291756058522,0.311996720203713,-0.644379907256147,-0.816080124784156,-1.220621812162,-1.18352311969752,-0.304285551994274,0.399424439137776,0.238115920460559,-0.520233612365647,0.657956722741879,0.421563386177888,0.0178562866872837,0.23639892337775,-0.11804190519223,-0.635531612776254,-0.13605437153838,-0.252738161392697,0.0213429710000484,0.333908158435007,-0.606791680094452,-0.290958631450444,0.291167770072327,0.388782861536599,-0.0955305810725136
8300,1.29401817680044,0.313176070533739,-0.562455145925201,0.365568532134007,-0.610979664961786,-0.20299763949955,-0.697993779631375,-0.63367650685524,-0.756005364984894,-0.248442584989165,0.756130054401909,0.369641983590144,-0.329348904913283,-0.8425979744806,-0.937750736819185,-0.793773285737862,-0.409729791115205,-0.995785870302068,-0.165035967507958,0.0707778264475694,0.734378242231316,0.604815924328725,0.818925527654133,1.02451388497013,-0.491168040992124,-0.703662411263685,-0.231436469676187,-0.335925865134138,-1.07908197530052,0.381636376000558,-0.326247086297835,-0.461512706409021,0.485195397995341,0.863017976550449,-0.106329128310286
8400,1.81635759224482,0.58205885563997,-0.735688778887066,0.397643951770649,-0.675406095118481,-0.235427878889793,-0.949078410511932,-0.618090690450783,-0.689535449212706,-0.114433702051137,0.830399520159263,0.582788169485038,-0.271429990245603,-0.806875540457645,-0.26287361610363,-0.348131935712424,-0.341519856132542,-1.12039590455263,-0.465795297382681,0.644432198039562,0.693204456012469,0.657785508132255,0.104964118852777,0.0230192272702683,-0.675732277909989,-0.676184669785707,-0.252003347547353,-0.360896024179158,-0.419034650712063,0.444616053854175,-0.435272619831753,-0.811147006466557,0.339957851402324,0.825139993002385,0.0994998447654186
8500,1.22017976602105,0.164987269777363,-0.331175530392753,-0.212332772802346,-0.863136089301133,-0.432291728359157,-1.19799245209291,-0.573703948986066,-1.0497771182232,-0.212897862305866,0.748894190362885,0.570787973900497,-0.58205974442113,-0.484203834834305,0.241367682236418,-0.457764502584447,-0.400228863697484,-1.08650444534867,-0.419727087487383,0.716678139357689,0.770215737535878,0.840048244196863,0.081449138278891,1.2205021751546,-1.00682498858336,-0.707768744651611,-0.466392848071989,-0.184942182697724,-0.174474330356304,-0.338788909083314,-0.157125511260994,-0.246888023701156,0.282023493164835,0.784506035547724,0.322588762558992
8600,1.69540024329693,0.335299200519315,-0.113628540323859,-0.77809685808491,-0.981976762261433,-0.58989914329633,-1.04041412406067,-0.496675850596186,-1.13824785768777,-0.103314972484279,0.887209574724279,0.400168906758946,-0.712742152281585,-0.611988905446966,0.182094121372873,-0.456666768533592,-0.418973254522542,-1.05972985305044,-0.513825639920984,-0.294574624133839,1.07932403495621,0.848262094806932,0.571976864104309,0.0521309056115911,-1.02831101096118,-1.76331723494792,-0.702822984013978,0.0877869855423736,-0.307390247709696,-0.0392715235475447,0.372668319435908,-0.315792840649468,0.296130903009308,0.565950442271595,0.486636393759676
8700,1.69980457063251,0.191950993875654,-0.616276325882719,-0.683277012465572,-0.161698445718533,-0.945348025327332,-1.08955323376142,-0.932329493912168,-0.733976347467519,0.0658993639661183,0.886206775474523,0.438575518149891,-0.261769713218692,-0.877200810111006,0.316514647054069,-0.470412178264374,-0.442671986075955,-1.29789491228132,-0.28526515033605,-0.500177911652658,1.14618837087914,0.64573326718037,0.345098106928922,0.7680577097062,-1.00606005789901,-1.80301272925882,-0.56232343335589,0.496933004285284,0.0373148890849528,0.0560933209613162,0.955985749969543,-0.646404235476324,0.195158434243286,0.725746735007167,0.330853060758108
8800,2.43205010622321,-0.139168955523415,-0.966465145848574,-0.639180110503274,-0.368376158511308,-0.780099755526196,-1.22990989073807,-0.920391874167496,-1.16982147477279,0.174386996466602,0.69834258608451,0.429956169141612,0.0697752225565946,-0.60790988333411,-0.112170199777313,-0.489569694925129,-0.555283103443415,-1.29940512591238,-0.221643462264036,-0.439563320153802,0.735860656777649,0.630564987519229,-0.0752620614499073,-0.0523091116211049,-0.81322886239094,-2.01684631640933,-0.543628012577308,0.374397094914117,-0.282602359594948,-0.349736312886204,1.13851129014114,-0.280364748527076,0.120930688386448,0.921763718946755,0.309740879196645
8900,2.4558520117246,0.449342547554464,-1.20643928464134,-0.900811838215313,0.188849289471949,-0.399233749891933,-1.32541662419941,-0.547749327351236,-1.41820145862519,0.495981499378282,0.483299019356678,0.396828846246735,0.418333756470315,0.107565080666169,0.741151655245317,-0.57164028813655,-0.95109419786615,-1.31978794553607,-0.221540928119185,-0.373245253789955,0.99846014903204,0.946311159575092,-0.378721177271027,0.857929213666981,-1.45682039777638,-1.89652050556064,-0.641465595786085,0.252426458378539,-1.17074985082631,-0.472318907147526,1.32056169625658,-0.0556298957431061,-0.00650138527236764,0.733200002869245,0.148453675781282
9000,2.40649987885405,0.496463213565955,-1.22915334678543,-0.456642351144991,-0.367542601452223,-0.659733094006074,-1.42194827724062,-0.108503247631913,-1.38844107921964,-0.0887045244553919,0.842352274448292,0.471230361992241,0.950617439329029,-0.026421471024381,0.260898724927943,-1.29702570734685,-1.30292810567637,-1.60616570347023,-0.328648907632177,0.00223487156091546,1.51645001146755,1.00628004819057,-0.345169161378735,-0.350933686931431,-1.38346816864545,-1.64149442289287,-0.374801719746681,-0.13205623816978,-2.51437911509349,-0.343492243849974,1.07374968139833,0.308566042500779,-0.153571522791412,0.694587930392781,0.196665806167032
9100,2.58711416928842,0.131958940250459,-1.07377459237155,0.0180671391114435,-0.482264518304702,-0.695564263324846,-1.51606332458169,0.130037773489752,-0.834124145060002,0.499272951514432,0.995075417220916,0.234241936987649,0.039317040707184,-0.247564004389711,-0.133718953484615,-1.15434218711088,-0.88234086352136,-1.96584124989218,-0.402688724583152,0.026629630887297,1.49910581063351,0.5246551291455,-0.419897863174643,0.304508824078904,-1.36044549492195,-1.92991073180197,-0.503290089598768,-0.237961594446553,-2.4258278670429,0.0400894351662558,1.01583071955228,0.410959580551328,-0.156971462773388,0.838258931082081,0.716308716045076
9200,2.73782562197223,0.518497558093479,-2.06695378715975,0.166927533620024,0.192432926597941,-0.715638326188174,-1.75325450085789,0.0323803461842942,-0.725762990982389,-0.245512512987757,0.863831979630262,0.343196305328605,-0.323171895712598,-0.306378744347993,-0.278857309033639,-0.943431342618134,-0.637941456926741,-2.05244387424522,-0.1444408941254,0.00634651860691435,1.56546520294046,0.509556251606664,0.120223209050579,1.75233303591204,-1.4484847557621,-1.96013832421902,-0.704714798586653,0.0404463005050539,-2.53315175278167,-0.342905970694347,0.83758532839312,0.244043177965226,0.0392552202485779,0.742174665487144,0.544001846959085
9300,2.72564426226813,0.153678158701992,-1.27945422603741,0.171205746870922,0.282569671972935,-0.911497874561819,-1.71187692159328,0.272767645322578,-0.654230829117166,-0.185048974424624,0.795471369862562,0.0696789527952222,0.0294164507321981,-0.0138174224014347,0.145380159331193,-0.817349561100861,-0.828962066377138,-2.29081524777965,-0.175239439417423,-0.085011044752885,1.55135610418949,0.628279265375173,0.549519601339258,0.683803436106158,-0.846379138408808,-1.50477998255097,-0.914227768066192,-0.106427442746062,-2.31955135467169,-0.600919511468487,1.01582481102641,-0.126784166029858,0.0391818674730328,1.0635816356362,-0.279168230694785
9400,2.66796115655143,0.178249770720943,-1.16002258783454,0.248553718508371,0.26456489927879,-0.32706448771191,-2.14373561576649,0.127891862420555,-1.02980528615948,0.177020903484622,0.405726900808363,0.0602184251368002,-0.0548022490230552,-0.0801102911406927,-0.0582032952169813,-0.644534778549594,-0.571441909590107,-2.08944405266734,-0.161953819859408,-0.0689150039230248,1.62577695659025,0.657780537856163,0.713439542037144,1.40061341395247,-0.544720795229134,-1.32609268873501,-0.976883455044094,-0.256129812796083,-2.44350610264775,-0.350980582630595,0.781129405019588,-0.27968092353589,-0.394222433339613,1.05068496971248,0.0935914013841353
9500,2.84045546197841,-0.0277466833269653,-1.63359610788034,-0.384168130775616,0.129993049222965,-0.680159853109591,-2.10733272812096,0.11299947718899,-1.34390130554348,-0.0794290569765985,0.381793404884066,-0.0186255240339664,0.0650595524477126,-0.222269817489268,-0.296083190555592,-1.17487948150895,-0.605996332653647,-2.33965067311528,-0.0105298651272665,0.109809188781403,1.44535791207855,0.416752563744123,-0.0149395968969785,-0.788413372888164,-0.669198815515668,-1.31220063368654,-0.680956660907399,-0.238795380530674,-2.10514294645217,-0.086975509343659,0.811625508934952,0.351177002642523,-0.47980780033844,0.940651014749596,0.290604535127274
9600,3.41871601369863,-0.49185606442506,-1.85217824574827,-0.488316050878056,0.532068433498606,-1.14002740332163,-1.95647807033839,-0.320827766258643,-1.26477426432808,-0.207349415112132,0.494205759447275,-0.146802779649083,-0.38170348893792,-0.260261785805388,-0.235426310827484,-0.888545116526393,-0.37937042291705,-1.80160494072886,-0.129738542683851,-0.166906308867398,1.25106475898356,0.215553575785566,-0.336216440603054,-0.14157482934909,-0.459002367877304,-1.92437739037289,-0.771332585524208,-0.29287419430382,-1.65095725554087,-0.547860380378816,1.13366270119273,0.5181007334844,-0.192205110061007,0.852380599602525,-0.230845870201722
9700,3.69915080627018,-0.353702235005256,-1.80768333384862,-0.0777627743643951,0.0881722863466466,-1.14147853347871,-2.27909453197144,-0.553123595087071,-1.93370068937291,-0.108600612727842,0.459410066111992,-0.288681427499544,-0.320128917195877,-0.674720025721853,-0.223308837424751,-0.986992668763203,-0.550984073390853,-1.6377378453807,-0.203679512089224,-0.174276558660391,1.33951604843037,0.294993417331877,-0.071379465396133,-1.09561066901238,-0.825701722447588,-1.85592384090918,-0.557947327409908,-0.166224579376712,-1.45276686955759,-1.08635913973609,1.18354924886269,0.219545092434588,0.046051339535745,1.04347972180094,-1.15339065368554
9800,2.83077956966419,-0.301606138886953,-1.79398501953976,-0.995530900010563,-0.172802092007512,-1.36115753219062,-2.66719386594241,-1.16039520334654,-1.40776598672174,-0.141997837801576,0.436770254356875,-0.592235026777449,-0.272861081156916,-0.923177707924414,-0.164978152383805,-0.77345612621046,-0.796075209605468,-1.69320965073514,-0.202153665730428,-0.0442147511061468,1.27765763433544,0.421234731173562,-0.176174976103083,-0.823255007062044,-0.919478157563652,-1.79238132400553,-0.919564193213197,-0.0966861821619289,-1.75745265751458,-1.26945681395846,1.02552724551744,0.474707308439214,-0.134718188716947,1.35872657106338,-0.959654339194703
9900,2.15209970387744,-0.420337294839438,-1.91965472617929,-1.32995018983089,-0.0113844961731214,-1.16484022198056,-2.74356857304006,-1.03109333015575,-1.57647044049138,-0.655600597430583,0.574905518691123,-0.184437071464502,-0.642490274785479,-0.792956942469053,-0.17743608503428,-0.446312733208673,-0.87629472091467,-1.94789835894551,-0.269306005265302,0.203050303290116,1.1841505716096,0.44870323949532,-0.320530578987006,-0.109340459668499,-1.08843414208887,-2.15463527115071,-0.948168681216216,-0.16058793772016,-1.71747850865952,-0.95962812343267,1.41173396335259,0.457550286908287,-0.495701119883677,1.53873249478878,-1.02930605687131
10000,2.07894831857857,-0.539656183227006,-1.9915881906949,-1.3477283923861,-0.301345859712125,-1.14014402810455,-2.99721504070411,-1.04127464217699,-1.75131218469497,-0.471735313737622,0.403704276058324,-0.730989361797735,-0.52259621659029,-0.80565675392768,-1.11461590902454,-0.908954035209065,-0.734863066287993,-2.16822603403341,-0.0193037079409513,0.425201931882839,1.38522395904423,0.0201787538820756,0.157300096877532,-0.648582101842863,-1.15766776246065,-2.09240798305552,-0.963792255416374,-0.384615770959333,-0.361788820317072,-1.65715698791275,1.43198576278994,-0.10393674233646,-1.25886184038979,1.23568704259215,-0.756544887593671
10100,2.26433461957681,-0.437681195427288,-1.96712459733428,-1.01840800439734,-0.0458282974689684,-1.46598344529846,-3.24608102260678,-0.926521333710494,-1.77351415441439,-0.846031275643459,0.0536712154038685,-0.573280164289189,-1.20040467400469,-0.709872581260943,-0.771743632027238,-0.952155949232767,-0.64205944487629,-2.37876044928778,0.0933789059260466,0.121013700537622,1.28044970220455,0.00849646664942928,0.567959801347416,-1.60178578124888,-1.0380706118158,-1.74869930703534,-0.741271437583187,-0.354891377235524,-1.04320003802694,-1.07264096998377,1.37334511114388,-0.192576590115833,-1.62709841080949,1.25597063391352,-0.769813588412551
10200,2.30443303902499,-0.57484196309625,-2.00474198790476,-1.05219631092463,-0.403119984881926,-1.26151997694639,-3.13114852096315,-0.942654806002456,-1.58107201947208,-1.1868630512432,0.203855868537224,-0.364466507514784,-0.90537968596935,-0.812188721462637,0.284286295136738,-1.26069436464605,-0.955017502296145,-2.79848630054448,0.387335493477664,0.134100601830533,1.41324923634265,0.264732402399019,0.44016531962966,-0.125868059174823,-1.08434094429792,-1.5748985137541,-1.01197385473926,-0.283269317678221,-2.20272262187863,-1.25885144806924,1.15559222195582,-0.19291567025841,-2.08886917247892,1.27570011159959,-0.505635150410037
10300,1.83020086141095,-0.444887867185657,-2.0269478405914,-1.48464247292625,0.82864012606801,-1.47489123560676,-3.23809337205305,-0.554642822589124,-1.74933781664154,-1.71756337430135,0.0311100166541558,-0.433075142023683,-0.625312153591982,-0.667754586335694,-0.503076311444221,-1.17168232255745,-1.49510864277029,-3.60180769761386,0.762824176906375,0.398052727843064,1.66726702530195,-0.0904258746340435,0.613011516853401,-0.970723387537152,-0.922928397236318,-1.77698469422857,-0.922521599287463,-0.297590883386913,-3.01921879328647,-1.1317063957257,1.47409027833564,0.273726202334979,-2.37663277488319,1.03057285865777,-0.209322852665506
10400,1.95505596246343,-0.788008059982588,-2.09143805901031,-2.54383239777719,0.511622758613781,-1.50974112497652,-3.17134170870577,-0.429615242240511,-2.13646761497135,-1.73218969711287,-0.112857494633743,-0.0576719943026378,-0.635662677533656,-0.628611686459543,-0.51493824917225,-1.7246141090629,-1.46518060115065,-3.27082452163378,-0.073090859647522,0.448170675339846,1.18989213171415,-0.112978981671893,0.812293000237015,-0.685398438984028,-0.734103461675713,-2.09399588943113,-1.02845297277224,-0.0589113664252586,-2.06838422601351,-1.42518057515877,1.47329139441077,0.489220296952755,-2.11873275257271,0.72191505841769,-0.383914569292767
10500,1.72147348991904,-0.452212900923553,-2.84760943246118,-3.6605001148038,0.695303629939355,-1.71860784395375,-2.94378844113498,-1.03717707961856,-2.12476894896723,-2.78393170156726,-0.0324105484574413,0.0178906791248138,-0.75410543984636,-0.695407476552628,-0.816809690020802,-1.34628794064227,-1.56907738399068,-3.62457932864235,-0.832322033556177,0.423300794890634,0.610483645870695,0.0535772749149677,0.340966071388744,0.532700720171657,-0.668751182831154,-2.01377360396058,-1.03558313093572,-0.338104948303472,-2.22928284239831,-1.7701376580635,1.39052434347512,0.28500375791467,-2.11840153164768,0.57521253267053,-0.565543893528292
