"","Dataset","TSid","DOI_1","DOI_2","DOI_3","DOI_4","DOI_5","DOI_6","DOI_7"
"633","Russell.Hubbs.1965","OLS_R28mFojQksk","206","186","","","","",""
"634","Rutz.Waddington.1969","OLS_RAcSotekegB","290","186","","","","",""
"635","RutzLake.Stuiver.1975","lcRWHzMmVYYcDf6K32p","445","621","","","","",""
"636","RyderPondCapeCodMassachusetts.Winkler.1995","pdRtkSoE1Q93x2JFV5i","412","152","","","","",""
"637","RyerseLake.author.1111","lcRiq1prtqFDpKinLF2","noPubOnRecord","621","","","","",""
"638","Rystad.Vorren.2012","LPDfc71e6bc","338","","","","","",""
"639","SaCurcurica.Beffa.2016","lcRoGFzRew9WTAEknaI","46","621","","","","",""
"640","Sahiyacave.Sinha.2015","S2LRuTFfyRE5aJ","30","215","","","","",""
"641","Saksunarvatn.Johansen.1982","lcREQ7puIGiJ4dGVajz","311","621","","","","",""
"642","SaladaPequena.author.1111","lcRNeTKafVV1Glibo2e","noPubOnRecord","621","","","","",""
"643","SalardeUyuni.Baker.2001","WEBb3112945","485","","","","","",""
"644","SalmoLake.Edwards.2015","lcRti96IuQQTbmLrU3C","416","621","","","","",""
"645","Sanbaocave.Dong.2010","S2LRvmcMc9Rkdw","307","239","688","","","",""
"646","Sandvikvatn.Paus.1982","lcRUiZGHarjNxAiW1nX","496","621","","","","",""
"647","SanJoaquinMarsh.Davis.1992","lcR3h58B1xMNHkPYwiY","475","621","","","","",""
"648","SchellingsBog.Barron.2004","WEBfde0ea8e","312","","","","","",""
"649","SchellingsBog.Barron.2004","WEB62272ffc","312","","","","","",""
"650","SchoodicPeninsulaHollow.Schauffler.1998","lcRKhWUhucbIA6KVzZ9","564","621","","","","",""
"651","Searles.Stuiver.1964","OLS_RfD6MNlONoM","510","186","","","","",""
"652","SecretValleyMarsh.West.2000","lcRVjgMr8niCWzlOTrs","654","621","","","","",""
"653","Selima.Haynes.1979","OLS_R1vmDg2WuOy","91","186","","","","",""
"654","SelinCo.Sun.1993","WEBdd4fa361","188","","","","","",""
"655","Selitkan1Exposure.Anderson.2002","lcRKWdAzk5gaaCCDOMh","15","621","","","","",""
"656","Sellevollmyra.Vorren.2007","LPD4777044b","339","","","","","",""
"657","SevenLakes.Calder.2016","lcRlQnhC5noD5c3isF7","92","621","","","","",""
"658","SharkeyLake.Camill.2003","lcR5SRLpHOGiAs4Q4SW","502","621","","","","",""
"659","Shatucacave.Bustamante.2016","S2LRFanjoqsyzm","397","","","","","",""
"660","Shigaocave.Jiang.2012","S2LRZPZvtczPu8","665","","","","","",""
"661","Shizi.Yang.2019","WEBd4e40e14","670","","","","","",""
"662","Shkodra.Zanchetta.2012","WEB53be5f2c","221","450","","","","",""
"663","SidiAli.Zielhofer.2019","WEB-fc8d9-7b8f-44c7-b4cb-5a4a1","113","","","","","",""
"664","SihailongwanMaar.Stebich.2015","LPD6fdee25b","414","","","","","",""
"665","SilverLake.Kirby.2015","WEB6e4417db","421","","","","","",""
"666","SilverLake.Kirby.2015","WEB696efa25","421","","","","","",""
"667","SilverLakeLakeMohave.Wells.2003","pdR0bHPwOODs54avzaw","588","152","","","","",""
"668","SimplonGampischAlterSpittel.vanderKnaap.1997","lcRnhx0TV2RqvrweSW7","700","621","","","","",""
"669","SkalaMarioncave.Psomiadis.2018","S2LR6gyBxnVNNh","136","","","","","",""
"670","SO188_342.ContrerasRosales.2014","WEB1afc8afc","364","","","","","",""
"671","SO189_144KL.Mohtadi.2014","WEBecd5f91f","404","181","","","","",""
"672","SO189-119KL.Mohtadi.2014","LPD1d1e6750","404","","","","","",""
"673","SO189-39KL.Mohtadi.2014","LPD1756fdf4","404","","","","","",""
"674","Sonk11D.Lauterbach.2014","LPD343ffe05","583","","","","","",""
"675","Soreqcave.Orland.2009","S2LR8DePB64lKW","261","260","334","446","","",""
"676","SouthRhodyBog.Booth.2012","GH277c77ee","542","","","","","",""
"677","SouthRhodypeatland.Booth.2004","lcRwZudUZlMj01vQXF2","541","621","","","","",""
"678","SPC14.Kahle.2021","WEB5a8bf9f7","177","","","","","",""
"679","SpicerLake.Wang.2016","lcRwnVuzjxKgcJQwS8I","691","621","","","","",""
"680","SpiritLake.Woods.1989","lcR1KT6GyUTH14Ybu8w","346","621","","","","",""
"681","SprucePond.MaenzaGmelch.1997","lcRgKkHN0CyyYoGbYOA","606","621","","","","",""
"682","StagesPond.Snyder.1991","lcRzbcPN2Y2gyo9iwZ9","576","621","","","","",""
"683","StaroselskyMoch.Novenko.2009","lcRaesu0dd88X29ftJX","468","621","","","","",""
"684","Steerenmoos.Rosch.2000","lcR6T9nRWTcVYluBUZX","548","621","","","","",""
"685","StewartBog.JimenezMoreno.2008","lcR5PWLII1WSTWJrKGG","225","621","","","","",""
"686","Stomyren..2008","GH5fffab58","12","","","","","",""
"687","Storsandvatnet.Birks.2012","lcRsxQJCal75WkUpl5m","55","621","","","","",""
"688","Straldzhamire.Connor.2013","lcR0aDYyLrxCMKEkXI7","580","621","","","","",""
"689","Straldzhamire.Tonkov.2009Legacy","lcRyf5ECfdUuscy1RT4","580","621","","","","",""
"690","Styggtjarnen.Giesecke.2005","lcR4l0L8xuHdTs39hQR","611","621","","","","",""
"691","SudobleLake.Elovicheva.1985Legacy","lcRYR1SVCS4M1mdG6Hg","176","621","","","","",""
"692","SumxiCo.Leipe.2014","GH97df1e73","110","","","","","",""
"693","Svartvatnet.Birks.2012","lcRKJqcToTVwvmD59ym","55","621","","","","",""
"694","SvatoboriceMistrin.Svobodova.1989","lcRyY8us0XnFvl0iGrN","594","621","","","","",""
"695","SvenceleBog.author.1111","lcRaRjP3JKMmyWbjhW3","noPubOnRecord","621","","","","",""
"696","SwallowLagoon.Barr.2019","WEB-c74a1-de1f-477c-becc-15b90","87","","","","","",""
"697","SwampbuggyLake.Rohr.2001","lcRRMCoTqUxIBPKGqtp","545","621","","","","",""
"698","SwanLake.Schmieder.2011","LPD1498ea89","274","","","","","",""
"699","SwanLake.Schmieder.2011","LPD03892251","274","","","","","",""
"700","TaguaTagua.Montane.1968","OLS_ROVfSZGskJH","251","186","","","","",""
"701","Takahula.Clegg.2010","GH2f86466e","49","","","","","",""
"702","TalismanCave.Tan.2021","WEBcbb13563","379","","","","","",""
"703","Tamborilcave.Wortham.2017","S2LR9MB33afoO5","37","74","","","","",""
"704","TanaLake.Loomis.2015","WEBf652d8e7","572","432","343","","","",""
"705","Tanganyika.Hecky.1973","OLS_RvTeu3ziD24","539","186","","","","",""
"706","Tanganyika.Tierney.2008","WEBfc31e088","298","","","","","",""
"707","TangleLakes.Ager.1981","lcR4bKnn7hrqLKgZGr3","609","621","","","","",""
"708","TaulZanogutii.Farcas.1999","lcRLTwUkmqSqLkVpHAA","190","621","","","","",""
"709","TaylorLake.Long.2002","lcRdS5DDFcpoNkFmck3","123","621","","","","",""
"710","Tayma.Neugebauer.2022","WEB-8358f-5546-4fa4-9716-b98f3","262","","","","","",""
"711","Telmen.Chen.2008","GH16221a19","189","562","","","","",""
"712","TeReingacave.Lorrey.2008","S2LRMfVuvM6F9K","20","","","","","",""
"713","TermitOuestKandelBouzou.Faure.1963","OLS_RmpO87FXnN9","192","186","","","","",""
"714","TiagoLake.Jimenez-Moreno.2011","WEBe350f165","207","","","","","",""
"715","TianchiLake.Sun.2011","lcRdGds9oOLVuJWyouN","591","621","","","","",""
"716","Tianmen.Cai.2010","S2LR5DxjLd46Qb","677","678","","","","",""
"717","Tiavatnet.Birks.2012","lcR5yi0K8vaJ1pDMGjM","55","621","","","","",""
"718","TiogaPassPond.Anderson.1987","lcR87uwkt1JVsPUAXqa","13","621","","","","",""
"719","Titicaca.Baker.2001","WEBa6153aaf","486","497","","","","",""
"720","Titicaca.Fornace.2014","WEBf46bc2c2","359","574","","","","",""
"721","TLakePalau.Sachs.2018","WEB1f2d5fc5","272","","","","","",""
"722","Tlstahora.Rybnickova.2005","lcRtqapfWlGeedhj31W","553","621","","","","",""
"723","TML1.Lamy.2010","WEB843e2ae7-dup","415","","","","","",""
"724","TML1.Lamy.2010","WEBc7a2aaa7","415","","","","","",""
"725","TomRiverPeat.Anderson.2002","lcRWjXOvOXsBSuCZKoz","15","621","","","","",""
"726","Tonnelnayacave.Cheng.2016","S2LRK7EQh5SRKh","237","","","","","",""
"727","TorontoLake.Wolfe.1996","LPDdf6e03fa","71","","","","","",""
"728","TourbiereCaribou.Richard.1977","lcRK61Zqovd5AsakNEX","530","621","","","","",""
"729","TourbieredelaLande.Pulido.2006","lcRZgqRfwDWqi1fNgxF","505","621","","","","",""
"730","TourbieredeLanoraieCOTEAUJAUNE.Comtois.1982","lcR1A1e4eCK8RCZbrM1","490","621","","","","",""
"731","TourbieredeLanoraieSTJEAN.Comtois.1979","lcROauZ0E6EMlpLEs8f","126","621","","","","",""
"732","TourbieredeParcaysurVienne.Cyprien.2006","lcRcR80wTm1A4RAUIRb","130","621","","","","",""
"733","TourbiereduPeschio.Pulido.2006","lcRw42ai03YAwD4En3b","505","621","","","","",""
"734","Trettetjorn.Bjune.2005Legacy","lcR5MPWfK6sspyzNqi4","56","621","","","","",""
"735","TroarnSaintSamson.Lespez.2010","lcR7lnczhhWSUhBzFx9","377","621","","","","",""
"736","TschokljovoMarsh.Bozilova.1985","lcRscdnEDYcOz51Mjsk","65","621","","","","",""
"737","TsoKar.Demske.2009","WEB371c0497","161","","","","","",""
"738","TsoMoriri.Leipe.2013","GH2b8af51c","110","","","","","",""
"739","Tsuolbmajavri.Korhola.2002","PYTJINRZ45D","1","235","","","","",""
"740","TulareLake.Negrini.2006","pdRwshhqDptCy27nlfs","543","152","","","","",""
"741","Turkana.Butzer.1972","OLS_RDo2ZhhzvEJ","342","186","","","","",""
"742","Turkana.Garcin.2012","WEB-9119d-899e-4084-82c1-1fac9","683","","","","","",""
"743","Tyrrell.Bowler.1986","OLS_RIAO1405W9b","64","186","","","","",""
"744","Uluu-Toocave.Wolff.2017","S2LR6SqowycH0Q","112","","","","","",""
"745","UncleSethsPond.Oswald.2018","lcRNlfrkkQn5Ce0M7QR","639","621","","","","",""
"746","UnitLake.Camill.2012","GH31325f74","501","","","","","",""
"747","UpperBigCreekLake.Shuman.2015","pdRopkg65IV11NRNtq6","81","152","","","","",""
"748","UpperPintoFen.Yu.2003","LPDe806555f","695","","","","","",""
"749","Urmia.Kelts.1986","OLS_RnQ2dbxrFsX","347","186","","","","",""
"750","VallondeProvence.deBeaulieu.1977","lcRwuwEJUSPd5BtSkfF","697","621","","","","",""
"751","VecherniiRiver.Anderson.2002","lcR4HXbcw98F8bYyA5X","15","621","","","","",""
"752","VelkyDed.Rybnicek.2004","lcR3Q9kRsZeRDvtgrkj","552","621","","","","",""
"753","Vera.Bradbury.1986b","OLS_RuVLAvVu5OP","69","186","","","","",""
"754","VestreOykjamyrtjorn.Bjune.2005","lcRr3eI7cqYBPpIQz54","56","621","","","","",""
"755","VishnevskoeLake.Arslanov.1999","lcR8NnFIKkEryjVtdoJ","27","621","","","","",""
"756","Voelvlei.Strobel.2021","WEB7ebd522d","494","","","","","",""
"757","WA01.Rainville.2013","WEBc8473abd","524","","","","","",""
"758","WAISDivide.Cuffey.2016","WEBaa6ac386","356","599","","","","",""
"759","Walker.Hevly.1985","OLS_RzqaAnmlHbH","68","186","","","","",""
"760","WalkerLakeNevada.Adams.2007","pdRD3QFsrrVxQyEFfVO","365","330","152","","","",""
"761","WallbachLenk.vanderKnaap.1997","lcRiJpSfk6qHogZUTSv","700","621","","","","",""
"762","Wangjiadianprofile.Cao.2010","lcRpkrKA2Q4Uru9VFwq","97","621","","","","",""
"763","Wanum.GarrettJones.1979","OLS_Roe2Ri2GOD9","212","186","","","","",""
"764","Waschhorn.Kuhl.1998","lcRLZA5oyAihPeZFLb7","353","621","","","","",""
"765","Washburn.Winkler.1985c","OLS_RXKCFWVRanL","659","186","","","","",""
"766","WaterConservationArea3BGumboLimboFarTail.Willard.2001","lcRCCeOBvoY6ibTb3Lr","138","621","","","","",""
"767","Watten.Gandouin.2002","lcRgSd7F3XOo7P6g0F0","210","621","","","","",""
"768","Wazpretticave.Williams.2005","S2LRQTAjCiqPX4","480","","","","","",""
"769","Weber.Fries.1962","OLS_Rh1QgEylyEm","202","186","","","","",""
"770","Wedge.Macdonald.1982","OLS_RtESqFQmPOU","401","186","","","","",""
"771","Wenquanwetland.Li.2020","lcR13jshNz5dqXWSsRh","306","621","","","","",""
"772","WestOkobojiLake.vanZant.1979","lcRbTXcI79CR4gJxaFC","345","621","","","","",""
"773","WestOlafLake.Nelson.2008","lcRDRHpPMtQHS2p3qME","151","621","","","","",""
"774","WestSidePond.Oswald.2018","lcRT2tIa25Tm8EVwMwr","605","621","","","","",""
"775","WestTwinLakeNebraska.Schmieder.2011","pdRfOJh6SjJ3emsFmsY","274","293","152","","","",""
"776","White.Watts.1980a","OLS_R4QPDsP0JVX","638","186","","","","",""
"777","WhitneysGulch.Lamb.1980","OLS_RKvXdow2D0X","367","186","","","","",""
"778","WielkeGacno.HjelmroosEricsson.1982","OLS_Rnp35KKbNIN","254","186","","","","",""
"779","WiggenhallStGermans.Waller.1994","lcRbLUSpdmvr6eTifaD","643","621","","","","",""
"780","WindmillLake.Bigelow.1997","lcRw0soaBrKg4z1ACYN","52","621","","","","",""
"781","WinneconnetPond.Suter.1985","lcRqcv7HT215BsuiBp5","593","621","","","","",""
"782","Wintergreen.Manny.1978","OLS_RzEmio4JrEJ","407","186","","","","",""
"783","WolsfeldLake.Grimm.1981","lcRopIDpnZtAWYZM2E4","229","621","","","","",""
"784","Wolverine.Mann.2002","GH66374774","139","","","","","",""
"785","Wonderkrater.Truc.2013","WEBd3eaa693","391","362","389","363","","",""
"786","Woryty.Ciesla.1978","lcRgNEo7t886ISDFpMs","116","621","","","","",""
"787","Wulun.Chen.2008","NAm2kHydro106","189","","","","","",""
"788","WuyaCave.Tan.2020","WEB-25055-627a-46a8-868d-f4a69","381","","","","","",""
"789","Xianglongcave.Tan.2018","S2LRljclseoP6S","380","","","","","",""
"790","Xiaobailongcave.Cai.2015","S2LR3sFUdg8g4z","679","","","","","",""
"791","XinguRia.Bertassoli.2019","WEBbed2c631","134","","","","","",""
"792","Xinyacave.T..2007","S2LR4OJ4DeyWph","617","327","","","","",""
"793","Yabitsuyachi.Morita.1987","lcRnpyqRGt7A1AQgJZl","453","621","","","","",""
"794","Yakumo.Leipe.2013","LPD016736e6","111","","","","","",""
"795","Yakumo.Leipe.2013","LPD55404d27","111","","","","","",""
"796","Yakumo.Leipe.2013","LPD72217804","111","","","","","",""
"797","Yamencave.Yang.2010","S2LRaRE1m5yKLj","673","","","","","",""
"798","YellowLake.Anderson.2012","GH95c4057f","373","","","","","",""
"799","Zalozhtsy.Artyushenko.1982","lcRx8TPoWqgtzHDb9wM","29","621","","","","",""
"800","Zaruckoe.Elina.1981","lcRWLf959HwYAt7u0lE","175","621","","","","",""
"801","Zeribar.Van.1963","OLS_R14ZgdIg3vP","205","186","","","","",""
"802","ZhangzangChaka.Qi.1981","OLS_RAPLKNVwmJW","645","186","","","","",""
"803","Zhuliupingcave.Huang.2016","S2LRonoRI4uIVU","649","","","","","",""
"804","Zhuyeze.Chen.2006","GHab77d673","187","","","","","",""
"805","Zhuyeze.Chen.2006","GHb76a109a","187","","","","","",""
"806","ZigetangCo.Herzschuh.2006","WEB94c7839d","620","188","","","","",""
"807","ZiwayShala.Grove.1975","OLS_RRO1Ic9Qv3B","590","186","","","","",""
"808","Zoige.Zhao.2011","WEB-77217-351b-45b8-a4c9-8742e","674","","","","","",""
"809","Gitanga.Bonnefille.2000","WEB188517c5","507","","","","","",""
"810","Jiji.Bonnefille.2000","WEB67e639fd","507","","","","","",""
"811","Leviathan.Lachniet.2014","LPDa57620f7bb","noPubOnRecord","","","","","",""
"812","Spitzkoppe.Chase.2009","WEB29d9f1fb","35","","","","","",""
"813","CederbergMountains.Chase.2015","WEB46f71da9","73","","","","","",""
