"","Dataset","TSid","DOI_1","DOI_2","DOI_3","DOI_4","DOI_5","DOI_6","DOI_7"
"68","Botuvercave.Bernal.2016","RaZSnFk83vO","199","","","","","",""
"69","Bougdouma.Gasse.1987","OLS_RgJGZeaw0md","213","186","","","","",""
"70","Breadalbane.Dodson.1986","OLS_RnZixdO7vMV","242","186","","","","",""
"71","BredeBridge.Waller.1993","lcRraSSIL4ehrOMpeyc","642","621","","","","",""
"72","BreitnauNeuhof.Rosch.1989","lcRWWzCPyjezteZo74a","547","621","","","","",""
"73","Bromfield.Kershaw.1975a","OLS_RwqOkY17CbA","4","186","","","","",""
"74","Bruckmisse.Rosch.2009","lcRseG41EyZPFn7vBuL","549","621","","","","",""
"75","Brurskardtjorni.Bjune.2005","lcRLALDzbV8deV0FSpS","56","621","","","","",""
"76","BucadellaRenella.Drysdale.2006","S2LRNh2zmbQt44","551","607","","","","",""
"77","Buckeye.Springer.2008","NAm2kHydro096","228","","","","","",""
"78","BuckLake.author.1111","lcRlOmh5hio8SI6zqLN","noPubOnRecord","621","","","","",""
"79","Bugristoe.Blyakharchuk.1989","lcRQoeD5swxv5zB9KeA","59","621","","","","",""
"80","BukitAssamcave.Carolin.2013","S2LRk70AiD9ZsN","581","561","323","322","","",""
"81","BulgarianBlackSea.FilipovaMarinova.2014","lcRUewusWiI9G28ut2a","193","621","","","","",""
"82","Bullenmerri.Buckley.1972","OLS_R9bib9fXM0c","164","186","","","","",""
"83","Bunkercave.Fohlmeister.2012","WEB8e0a7386","270","439","","","","",""
"84","BuracaGloriosa.Denniston.2017","S2LR419VKmTzO1","526","","","","","",""
"85","BuracaGloriosa.Denniston.2017","S2LRCWCwYqedVC","526","","","","","",""
"86","BurdenLake.Gaudreau.1986","lcRi9rpgU3KNzoGhTeP","214","621","","","","",""
"87","CaddoCreekCore3.Albert.2011","lcRPzK3bolAUBI4YPWm","78","621","","","","",""
"88","Cahaba.Delcourt.1983","OLS_RhSooYiv8NM","158","186","","","","",""
"89","CahabaPond.Delcourt.1983","lcRVRnl9YOspeS2qWJq","244","621","","","","",""
"90","CalcitecaveMtLuxmoreFiordland.Lorrey.2008","S2LRGkmEev8vMC","20","","","","","",""
"91","Camp11Lake.Brubaker.1975","lcRYUf2GzuKWaJw7Cls","382","621","","","","",""
"92","Cangumiao.Xu.2004","lcRJ9bcRX8zajMu6bEY","668","621","","","","",""
"93","CanyonLake.Davis.1991","lcRPBnamW5NHR8VPMKn","410","621","","","","",""
"94","CapeShpindler.Andreev.2001","lcRaeEm3p5q0v5R3dkJ","18","621","","","","",""
"95","CapitolaLake.Calcote.2003","lcRH47ExCxsXc3fhZVO","520","621","","","","",""
