"","DOI","Year","Author","references"
"180","10.1038/nature03945","2005","Enno Schefu{\ss} and Stefan Schouten and Ralph R. Schneider","Schefuß, E., Schouten, S., & Schneider, R. R. (2005). Climatic controls on central African hydrology during the past 20,000 years. Nature, 437(7061), 1003–1006. https://doi.org/10.1038/nature03945"
"181","10.1073/pnas.1323585111","2014","Eva M. Niedermeyer and Alex L. Sessions and Sarah J. Feakins and Mahyar Mohtadi","Niedermeyer, E. M., Sessions, A. L., Feakins, S. J., & Mohtadi, M. (2014). Hydroclimate of the western Indo-Pacific Warm Pool during the past 24,000 years. Proceedings of the National Academy of Sciences, 111(26), 9402–9406. https://doi.org/10.1073/pnas.1323585111"
"182","Evans, N.S., 2002. An Investigation of the Holocene Pollen Record from the Grey Islands, Newfoundland. Master's thesis. Memorial University of Newfoundland, St. John's, Newfoundland, Canada.","2002","Evans","Evans, N.S., 2002. An Investigation of the Holocene Pollen Record from the Grey Islands, Newfoundland. Master's thesis. Memorial University of Newfoundland, St. John's, Newfoundland, Canada."
"183","Ewing, H.A., 2000. Ecosystem development and response to climatic change: a comparative study of forest-lake ecosystems on different substrates. Doctoral dissertation. University of Minnesota, St Paul, Minnesota, USA.","2000","Ewing","Ewing, H.A., 2000. Ecosystem development and response to climatic change: a comparative study of forest-lake ecosystems on different substrates. Doctoral dissertation. University of Minnesota, St Paul, Minnesota, USA."
"184","10.5194/cp-3-243-2007","2007","F. Parrenin and G. Dreyfus and G. Durand and S. Fujita and O. Gagliardini and F. Gillet and J. Jouzel and K. Kawamura and N. Lhomme and V. Masson-Delmotte and C. Ritz and J. Schwander and H. Shoji and R. Uemura and O. Watanabe and N. Yoshida","Parrenin, F., Dreyfus, G., Durand, G., Fujita, S., Gagliardini, O., Gillet, F., et al. (2007). 1-D-ice flow modelling at EPICA Dome C and Dome Fuji, East Antarctica. Climate of the Past, 3(2), 243–259. https://doi.org/10.5194/cp-3-243-2007"
"185","https://doi.org/10.5194/cp-3-485-2007","2007","F. Parrenin and J.-M. Barnola and J. Beer and T. Blunier and E. Castellano and J. Chappellaz and G. Dreyfus and H. Fischer and S. Fujita and J. Jouzel and K. Kawamura and B. Lemieux-Dudon and L. Loulergue and V. Masson-Delmotte and B. Narcisi and J.-R. Petit and G. Raisbeck and D. Raynaud and U. Ruth and J. Schwander and M. Severi and R. Spahni and J. P. Steffensen and A. Svensson and R. Udisti and C. Waelbroeck and E. Wolff","Parrenin, F., Barnola, J.-M., Beer, J., Blunier, T., Castellano, E., Chappellaz, J., et al. (2007). The EDC3 chronology for the EPICA Dome C ice core. Climate of the Past, 3(3), 485–497. https://doi.org/10.5194/cp-3-485-2007"
"186","10.2172/5609291","1989","F. Street-Perrott and D. Marchand and N. Roberts and S. Harrison","Street-Perrott, F., Marchand, D., Roberts, N., & Harrison, S. (1989). Global lake-level variations from 18,000 to 0 years ago: A palaeoclimate analysis. https://doi.org/10.2172/5609291"
"187","10.1191/0959683606hl951rp","2006","Fa-Hu Chen and Bo Cheng and Yan Zhao and Yan Zhu and David B. Madsen","Chen, F.-H., Cheng, B., Zhao, Y., Zhu, Y., & Madsen, D. B. (2006). Holocene environmental change inferred from a high-resolution pollen record,                 Lake Zhuyeze, arid China. The Holocene, 16(5), 675–684. https://doi.org/10.1191/0959683606hl951rp"
"188","10.1016/j.quascirev.2020.106444","2020","Fahu Chen and Jifeng Zhang and Jianbao Liu and Xianyong Cao and Juzhi Hou and Liping Zhu and Xiangke Xu and Xiangjun Liu and Mingda Wang and Duo Wu and Lingxin Huang and Tian Zeng and Shuai Zhang and Wei Huang and Xu Zhang and Kun Yang","Chen, F., Zhang, J., Liu, J., Cao, X., Hou, J., Zhu, L., et al. (2020). Climate change, vegetation history, and landscape responses on the Tibetan Plateau during the Holocene: A comprehensive review. Quaternary Science Reviews, 243, 106444. https://doi.org/10.1016/j.quascirev.2020.106444"
"189","10.1016/j.quascirev.2007.10.017","2008","Fahu Chen and Zicheng Yu and Meilin Yang and Emi Ito and Sumin Wang and David B. Madsen and Xiaozhong Huang and Yan Zhao and Tomonori Sato and H. John B. Birks and Ian Boomer and Jianhui Chen and Chengbang An and Bernd Wünnemann","Chen, F., Yu, Z., Yang, M., Ito, E., Wang, S., Madsen, D. B., et al. (2008). Holocene moisture evolution in arid central Asia and its out-of-phase relationship with Asian monsoon history. Quaternary Science Reviews, 27(3–4), 351–364. https://doi.org/10.1016/j.quascirev.2007.10.017"
"190","Farcas, S., de Beaulieu, J.L., Reille, M., Coldea, G., Diaconeasa, B., Goeury, C., Goslar, T. and Jull, T., 1999. First 14C datings of Late Glacial and Holocene pollen sequences from Romanian Carpathes. Comptes Rendus de l'Academie des Sciences-Series III-Sciences de la Vie, 322(9), pp.799-807.","1999","Farcas","Farcas, S., de Beaulieu, J.L., Reille, M., Coldea, G., Diaconeasa, B., Goeury, C., Goslar, T. and Jull, T., 1999. First 14C datings of Late Glacial and Holocene pollen sequences from Romanian Carpathes. Comptes Rendus de l'Academie des Sciences-Series III-Sciences de la Vie, 322(9), pp.799-807."
"191","Fauquette, S., Guiot, J., Menut, M., de Beaulieu, J.L., Reille, M. and Guenet, P., 1999. Vegetation and climate since the last interglacial in the Vienne area (France). Global and Planetary Change, 20(1), pp.1-17.","1999","Fauquette","Fauquette, S., Guiot, J., Menut, M., de Beaulieu, J.L., Reille, M. and Guenet, P., 1999. Vegetation and climate since the last interglacial in the Vienne area (France). Global and Planetary Change, 20(1), pp.1-17."
"192","Faure, H., E. Manguin and R. Nydal, 1963.Formations lacustres du Quaternaire superieur duNiger oriental : diatomites et ages absolus.Bulletin du Bureau de Recherches geologiques etminieres, Paris 3 : 41-63.","1963","Faure","Faure, H., E. Manguin and R. Nydal, 1963.Formations lacustres du Quaternaire superieur duNiger oriental : diatomites et ages absolus.Bulletin du Bureau de Recherches geologiques etminieres, Paris 3 : 41-63."
"193","Filipova-Marinova, M., Pavlov, D., Coolen, M., Giosan, L. and Vergiev, S., 2014. Contributions to the European Pollen Database. 22. Vegetation development in the central part of the Bulgarian Black Sea coast during the last 13 000 years. Grana, 53(3), pp.249-251.","2014","Filipova-Marinova","Filipova-Marinova, M., Pavlov, D., Coolen, M., Giosan, L. and Vergiev, S., 2014. Contributions to the European Pollen Database. 22. Vegetation development in the central part of the Bulgarian Black Sea coast during the last 13 000 years. Grana, 53(3), pp.249-251."
"194","Finsinger, W. and Tinner, W., 2007. Pollen and plant macrofossils at Lac de Fully (2135 m asl): Holocene forest dynamics on a highland plateau in the Valais, Switzerland. The Holocene, 17(8), pp.1119-1127.","2007","Finsinger","Finsinger, W. and Tinner, W., 2007. Pollen and plant macrofossils at Lac de Fully (2135 m asl): Holocene forest dynamics on a highland plateau in the Valais, Switzerland. The Holocene, 17(8), pp.1119-1127."
"195","Finsinger, W., Vanel, Q., Ribolini, A. and Tinner, W., 2020. Early to late Holocene vegetation and fire dynamics at the treeline in the Maritime Alps. Vegetation History and Archaeobotany, 13, pp.1-18.","2020","Finsinger","Finsinger, W., Vanel, Q., Ribolini, A. and Tinner, W., 2020. Early to late Holocene vegetation and fire dynamics at the treeline in the Maritime Alps. Vegetation History and Archaeobotany, 13, pp.1-18."
"196","Fontes, J-C., C. Moussie, P. Pouchan and M. Weidmann, 1973.  Phases humides au Pleistocene superieur et al'Holocene dans le sud de l'Afar (T.F.A.I.).Comptes rendus hebdomadaires de l'Academie desSciences, Paris 277 : 1973-1976.","1973","Fontes","Fontes, J-C., C. Moussie, P. Pouchan and M. Weidmann, 1973.  Phases humides au Pleistocene superieur et al'Holocene dans le sud de l'Afar (T.F.A.I.).Comptes rendus hebdomadaires de l'Academie desSciences, Paris 277 : 1973-1976."
"197","Fossitt, J.A., 1994. Late-glacial and Holocene vegetation history of western Donegal, Ireland. Biology and Environment: Proceedings of the Royal Irish Academy, 94B(1), pp.1-31.","1994","Fossitt","Fossitt, J.A., 1994. Late-glacial and Holocene vegetation history of western Donegal, Ireland. Biology and Environment: Proceedings of the Royal Irish Academy, 94B(1), pp.1-31."
"198","10.1038/ngeo444","2009","Francisco W. Cruz and Mathias Vuille and Stephen J. Burns and Xianfeng Wang and Hai Cheng and Martin Werner and R. Lawrence Edwards and Ivo Karmann and Augusto S. Auler and Hanh Nguyen","Cruz, F. W., Vuille, M., Burns, S. J., Wang, X., Cheng, H., Werner, M., et al. (2009). Orbitally driven east–west antiphasing of South American precipitation. Nature Geoscience, 2(3), 210–214. https://doi.org/10.1038/ngeo444"
"199","10.1038/nature03365","2005","Francisco W. Cruz and Stephen J. Burns and Ivo Karmann and Warren D. Sharp and Mathias Vuille and Andrea O. Cardoso and Jos{\'{e}} A. Ferrari and Pedro L. Silva Dias and Oduvaldo Viana","Cruz, F. W., Burns, S. J., Karmann, I., Sharp, W. D., Vuille, M., Cardoso, A. O., et al. (2005). Insolation-driven changes in atmospheric circulation over the past 116,000 years in subtropical Brazil. Nature, 434(7029), 63–66. https://doi.org/10.1038/nature03365"
"200","10.1017/qua.2017.72","2017","Franziska A. Lechleitner and Sebastian F.M. Breitenbach and Hai Cheng and Birgit Plessen and Kira Rehfeld and Bedartha Goswami and Norbert Marwan and Deniz Eroglu and Jess Adkins and Gerald Haug","Lechleitner, F. A., Breitenbach, S. F. M., Cheng, H., Plessen, B., Rehfeld, K., Goswami, B., et al. (2017). Climatic and in-cave influences on δ18O and δ13C in a stalagmite from northeastern India through the last deglaciation. Quaternary Research, 88(3), 458–471. https://doi.org/10.1017/qua.2017.72"
"201","10.1016/S0012-821X(02)00950-0","2002","Fran{\c{c}}oise Vimeux and Kurt M. Cuffey and Jean Jouzel","Vimeux, F., Cuffey, K. M., & Jouzel, J. (2002). New insights into Southern Hemisphere temperature changes from Vostok ice cores using deuterium excess correction. Earth and Planetary Science Letters, 203(3–4), 829–843. https://doi.org/10.1016/s0012-821x(02)00950-0"
"202","Fries, M., 1962.  Pollen profiles of Late Pleistocene and recentsediments at Weber Lake, northeastern Minnesota.Ecology 43 : 295-308.","1962","Fries","Fries, M., 1962.  Pollen profiles of Late Pleistocene and recentsediments at Weber Lake, northeastern Minnesota.Ecology 43 : 295-308."
"203","Fuller, J.L., 1995. Holocene forest dynamics in Southern Ontario, Canada. Doctoral dissertation. University of Cambridge, Cambridge, U.K.","1995","Fuller","Fuller, J.L., 1995. Holocene forest dynamics in Southern Ontario, Canada. Doctoral dissertation. University of Cambridge, Cambridge, U.K."
"204","10.1017/S0033822200001417","1974","G Delibrias and M T Guillier and J Labeyrie","Delibrias, G., Guillier, M. T., & Labeyrie, J. (1974). Gif Natural Radiocarbon Measurements VIII. Radiocarbon, 16(1), 15–94. https://doi.org/10.1017/s0033822200001417"
"205","10.1126/science.140.3562.67","1963","G. E. Hutchinson and U. M. Cowgill","Hutchinson, G. E., & Cowgill, U. M. (1963). Chemical Examination of a Core from Lake Zeribar, Iran. Science, 140(3562), 67–69. https://doi.org/10.1126/science.140.3562.67"
"206","10.1017/S0033822200036572","1962","G. J. Fergusson and W. F. Libby","Fergusson, G. J., & Libby, W. F. (1962). UCLA Radiocarbon Dates I. Radiocarbon, 4, 109–114. https://doi.org/10.1017/s0033822200036572"
"207","10.1130/B30240.1","2010","G. Jimenez-Moreno and R. S. Anderson and V. Atudorei and J. L. Toney","Jimenez-Moreno, G., Anderson, R. S., Atudorei, V., & Toney, J. L. (2010). A high-resolution record of climate, vegetation, and fire in the mixed conifer forest of northern Colorado, USA. Geological Society of America Bulletin, 123(1–2), 240–254. https://doi.org/10.1130/b30240.1"
"208","10.2307/1550919","1983","G. M. MacDonald","MacDonald, G. M. (1983). Holocene Vegetation History of the Upper Natla River Area, Northwest Territories, Canada. Arctic and Alpine Research, 15(2), 169. https://doi.org/10.2307/1550919"
"209","https://doi.org/10.1016/j.quascirev.2006.12.003","2007","G. Zanchetta and R.N. Drysdale and J.C. Hellstrom and A.E. Fallick and I. Isola and M.K. Gagan and M.T. Pareschi","Zanchetta, G., Drysdale, R. N., Hellstrom, J. C., Fallick, A. E., Isola, I., Gagan, M. K., & Pareschi, M. T. (2007). Enhanced rainfall in the Western Mediterranean during deposition of sapropel S1: stalagmite evidence from Corchia cave (Central Italy). Quaternary Science Reviews, 26(3–4), 279–286. https://doi.org/10.1016/j.quascirev.2006.12.003"
"210","Gandouin, E., 2002. Enregistrement paleoclimatique de la transgression holocene: signature paleo-environnementale des Chironomidae (Dipteres) du bassin de Saint-Omer (France). Doctoral dissertation. Universite de Lille, Lille, France.","2002","Gandouin","Gandouin, E., 2002. Enregistrement paleoclimatique de la transgression holocene: signature paleo-environnementale des Chironomidae (Dipteres) du bassin de Saint-Omer (France). Doctoral dissertation. Universite de Lille, Lille, France."
"211","Garralla, S., 1991. L'analyse pollinique des sediments d'un lac de la region de Chibougamau, Quebec. Master's thesis. Universite Laval, Sainte-Foy, Quebec, Canada.","1991","Garralla","Garralla, S., 1991. L'analyse pollinique des sediments d'un lac de la region de Chibougamau, Quebec. Master's thesis. Universite Laval, Sainte-Foy, Quebec, Canada."
"212","Garrett-Jones, S., 1979. ""Holocene Vegetation and Lake Sedimentation in the Markham Valley, PNG."" Ph.D. thesis, AustralianNational University, Canberra.","1979","Garrett-Jones","Garrett-Jones, S., 1979. ""Holocene Vegetation and Lake Sedimentation in the Markham Valley, PNG."" Ph.D. thesis, AustralianNational University, Canberra."
"213","Gasse, F., 1987.  Diatoms for reconstructing palaeoenvironments and palaeohydrology in tropical semi-arid zones:Example of some lakes from Niger since 12000 B.P. Hydrobiologia 154 : 127-163.","1987","Gasse","Gasse, F., 1987.  Diatoms for reconstructing palaeoenvironments and palaeohydrology in tropical semi-arid zones:Example of some lakes from Niger since 12000 B.P. Hydrobiologia 154 : 127-163."
"214","Gaudreau, D.C., 1986. Late-Quaternary vegetational history of the northeast: paleoecological implications of topographic patterns in pollen distributions. Doctoral dissertation. Yale University, New Haven, Connecticut, USA.","1986","Gaudreau","Gaudreau, D.C., 1986. Late-Quaternary vegetational history of the northeast: paleoecological implications of topographic patterns in pollen distributions. Doctoral dissertation. Yale University, New Haven, Connecticut, USA."
"215","10.1126/sciadv.1701296","2017","Gayatri Kathayat and Hai Cheng and Ashish Sinha and Liang Yi and Xianglei Li and Haiwei Zhang and Hangying Li and Youfeng Ning and R. Lawrence Edwards","Kathayat, G., Cheng, H., Sinha, A., Yi, L., Li, X., Zhang, H., et al. (2017). The Indian monsoon variability and civilization changes in the Indian subcontinent. Science Advances, 3(12). https://doi.org/10.1126/sciadv.1701296"
"216","10.5194/cp-14-1869-2018","2018","Gayatri Kathayat and Hai Cheng and Ashish Sinha and Max Berkelhammer and Haiwei Zhang and Pengzhen Duan and Hanying Li and Xianglei Li and Youfeng Ning and R. Lawrence Edwards","Kathayat, G., Cheng, H., Sinha, A., Berkelhammer, M., Zhang, H., Duan, P., et al. (2018). Evaluating the timing and structure of the 4.2 ka event in the Indian summer monsoon domain from an annually resolved speleothem record from Northeast India. Climate of the Past, 14(12), 1869–1879. https://doi.org/10.5194/cp-14-1869-2018"
"217","10.1016/j.quascirev.2018.04.013","2018","George E.A. Swann and Anson W. Mackay and Elena Vologina and Matthew D. Jones and Virginia N. Panizzo and Melanie J. Leng and Hilary J. Sloane and Andrea M. Snelling and Michael Sturm","Swann, G. E. A., Mackay, A. W., Vologina, E., Jones, M. D., Panizzo, V. N., Leng, M. J., et al. (2018). Lake Baikal isotope records of Holocene Central Asian precipitation. Quaternary Science Reviews, 189, 210–222. https://doi.org/10.1016/j.quascirev.2018.04.013"
"218","10.1126/science.1059725","2001","Gerald H. Haug and Konrad A. Hughen and Daniel M. Sigman and Larry C. Peterson and Ursula Röhl","Haug, G. H., Hughen, K. A., Sigman, D. M., Peterson, L. C., & Röhl, U. (2001). Southward Migration of the Intertropical Convergence Zone Through the Holocene. Science, 293(5533), 1304–1308. https://doi.org/10.1126/science.1059725"
"219","10.1016/j.quascirev.2004.06.021","2005","Gifford H. Miller and Alexander P. Wolfe and Jason P. Briner and Peter E. Sauer and Atle Nesje","Miller, G. H., Wolfe, A. P., Briner, J. P., Sauer, P. E., & Nesje, A. (2005). Holocene glaciation and climate evolution of Baffin Island, Arctic Canada. Quaternary Science Reviews, 24(14–15), 1703–1721. https://doi.org/10.1016/j.quascirev.2004.06.021"
"220","10.1007/s10933-006-9070-1","2006","Giovanni Zanchetta and Alessandra Borghini and Anthony E. Fallick and Francesco P. Bonadonna and Gabriello Leone","Zanchetta, G., Borghini, A., Fallick, A. E., Bonadonna, F. P., & Leone, G. (2006). Late Quaternary palaeohydrology of Lake Pergusa (Sicily, southern Italy) as inferred by stable isotopes of lacustrine carbonates. Journal of Paleolimnology, 38(2), 227–239. https://doi.org/10.1007/s10933-006-9070-1"
"221","10.1002/jqs.2563","2012","Giovanni Zanchetta and Aurelien Van Welden and Ilaria Baneschi and Russell Drysdale and Laura Sadori and Neil Roberts and Marco Giardini and Christian Beck and Vincenzo Pascucci and Roberto Sulpizio","Zanchetta, G., Van Welden, A., Baneschi, I., Drysdale, R., Sadori, L., Roberts, N., et al. (2012). Multiproxy record for the last 4500 years from Lake Shkodra (Albania/Montenegro). Journal of Quaternary Science, 27(8), 780–789. https://doi.org/10.1002/jqs.2563"
"222","10.1038/srep33325","2016","Glen M. MacDonald and Katrina A. Moser and Amy M. Bloom and Aaron P. Potito and David F. Porinchu and James R. Holmquist and Julia Hughes and Konstantine V. Kremenetski","MacDonald, G. M., Moser, K. A., Bloom, A. M., Potito, A. P., Porinchu, D. F., Holmquist, J. R., et al. (2016). Prolonged California aridity linked to climate warming and Pacific sea surface temperature. Scientific Reports, 6(1). https://doi.org/10.1038/srep33325"
"223","Gobet, E., Tinner, W., Bigler, C., Hochuli, P.A. and Ammann, B., 2005. Early-Holocene afforestation processes in the lower subalpine belt of the Central Swiss Alps as inferred from macrofossil and pollen records. The Holocene, 15(5), pp.672-686.","2005","Gobet","Gobet, E., Tinner, W., Bigler, C., Hochuli, P.A. and Ammann, B., 2005. Early-Holocene afforestation processes in the lower subalpine belt of the Central Swiss Alps as inferred from macrofossil and pollen records. The Holocene, 15(5), pp.672-686."
"224","Gonzalez, M.A., 1981. Evidencias paleoclimaticas en la Salina delBebedero (San Luis). VIII Congreso GeologicoArgentino, Actas 3 : 411-438.","1983","Gonzalez","Gonzalez, M.A., 1981. Evidencias paleoclimaticas en la Salina delBebedero (San Luis). VIII Congreso GeologicoArgentino, Actas 3 : 411-438."
"225","10.1016/j.quascirev.2008.04.004","2008","Gonzalo Jim{\'{e}}nez-Moreno and Peter J. Fawcett and R. Scott Anderson","Jiménez-Moreno, G., Fawcett, P. J., & Scott Anderson, R. (2008). Millennial- and centennial-scale vegetation and climate changes during the late Pleistocene and Holocene from northern New Mexico (USA). Quaternary Science Reviews, 27(13–14), 1442–1452. https://doi.org/10.1016/j.quascirev.2008.04.004"
"226","10.1177/0959683612450199","2012","Gonzalo Jim{\'{e}}nez-Moreno and R Scott Anderson","Jiménez-Moreno, G., & Anderson, R. S. (2012). Pollen and macrofossil evidence of Late Pleistocene and Holocene treeline fluctuations from an alpine lake in Colorado, USA. The Holocene, 23(1), 68–77. https://doi.org/10.1177/0959683612450199"
"227","Goransson, H., 1989. Dags mosse: Ostergotlands forhistoriska kalender. Svensk botanisk tidskrift, 83(6), pp.371-407 (in German).","1989","Goransson","Goransson, H., 1989. Dags mosse: Ostergotlands forhistoriska kalender. Svensk botanisk tidskrift, 83(6), pp.371-407 (in German)."
"228","10.1029/2008GL034971","2008","Gregory S. Springer and Harold D. Rowe and Ben Hardt and R. Lawrence Edwards and Hai Cheng","Springer, G. S., Rowe, H. D., Hardt, B., Edwards, R. L., & Cheng, H. (2008). Solar forcing of Holocene droughts in a stalagmite record from West Virginia in east-central North America. Geophysical Research Letters, 35(17). https://doi.org/10.1029/2008gl034971"
"229","Grimm, E.C., 1981. An ecological and paleoecological study of the vegetation in the Big Woods region of Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.","1981","Grimm","Grimm, E.C., 1981. An ecological and paleoecological study of the vegetation in the Big Woods region of Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA."
"230","10.1016/0031-0182(92)90115-L","1992","Gunnar Digerfeldt and James E Almendinger and Svante Björck","Digerfeldt, G., Almendinger, J. E., & Björck, S. (1992). Reconstruction of past lake levels and their relation to groundwater hydrology in the Parkers Prairie sandplain, west-central Minnesota. Palaeogeography, Palaeoclimatology, Palaeoecology, 94(1–4), 99–118. https://doi.org/10.1016/0031-0182(92)90115-l"
"231","10.1016/0033-5894(72)90088-9","1972","Gurdip Singh and R.D. Joshi and A.B. Singh","Singh, G., Joshi, R. D., & Singh, A. B. (1972). Stratigraphic and Radiocarbon Evidence for the Age and Development of Three Salt Lake Deposits in Rajasthan, India. Quaternary Research, 2(4), 496–505. https://doi.org/10.1016/0033-5894(72)90088-9"
"232","10.1002/2015gl065397","2015","H. Cheng and A. Sinha and S. Verheyden and F. H. Nader and X. L. Li and P. Z. Zhang and J. J. Yin and L. Yi and Y. B. Peng and Z. G. Rao and Y. F. Ning and R. L. Edwards","Cheng, H., Sinha, A., Verheyden, S., Nader, F. H., Li, X. L., Zhang, P. Z., et al. (2015). The climate variability in northern Levant over the past 20,000 years. Geophysical Research Letters, 42(20), 8641–8650. https://doi.org/10.1002/2015gl065397"
"233","10.1029/2011GL050202","2012","H. Cheng and P. Z. Zhang and C. Spötl and R. L. Edwards and Y. J. Cai and D. Z. Zhang and W. C. Sang and M. Tan and Z. S. An","Cheng, H., Zhang, P. Z., Spötl, C., Edwards, R. L., Cai, Y. J., Zhang, D. Z., et al. (2012). The climatic cyclicity in semiarid-arid central Asia over the past 500,000 years. Geophysical Research Letters, 39(1), n/a-n/a. https://doi.org/10.1029/2011gl050202"
"234","10.1139/e86-113","1986","H. Dinel and P. J. H. Richard and P. E. M. Lev{\'{e}}sque and A. Larouche","Dinel, H., Richard, P. J. H., Levésque, P. E. M., & Larouche, A. (1986). Origine et évolution du marais tourbeux de Keswick, Ontario, par l’analyse pollinique et macrofossile. Canadian Journal of Earth Sciences, 23(8), 1145–1155. https://doi.org/10.1139/e86-113"
"235","10.5194/cp-10-1605-2014","2014","H. S. Sundqvist and D. S. Kaufman and N. P. McKay and N. L. Balascio and J. P. Briner and L. C. Cwynar and H. P. Sejrup and H. Seppä and D. A. Subetto and J. T. Andrews and Y. Axford and J. Bakke and H. J. B. Birks and S. J. Brooks and A. de Vernal and A. E. Jennings and F. C. Ljungqvist and K. M. Rühland and C. Saenger and J. P. Smol and A. E. Viau","Sundqvist, H. S., Kaufman, D. S., McKay, N. P., Balascio, N. L., Briner, J. P., Cwynar, L. C., et al. (2014). Arctic Holocene proxy climate database – new approaches to assessing geochronological accuracy and encoding climate variables. Climate of the Past, 10(4), 1605–1631. https://doi.org/10.5194/cp-10-1605-2014"
"236","10.1038/ncomms2415","2013","Hai Cheng and Ashish Sinha and Francisco W. Cruz and Xianfeng Wang and R. Lawrence Edwards and Fernando M. d'Horta and Camila C. Ribas and Mathias Vuille and Lowell D. Stott and Augusto S. Auler","Cheng, H., Sinha, A., Cruz, F. W., Wang, X., Edwards, R. L., d’Horta, F. M., et al. (2013). Climate change patterns in Amazonia and biodiversity. Nature Communications, 4(1). https://doi.org/10.1038/ncomms2415"
"237","10.1038/srep36975","2016","Hai Cheng and Christoph Spötl and Sebastian F. M. Breitenbach and Ashish Sinha and Jasper A. Wassenburg and Klaus Peter Jochum and Denis Scholz and Xianglei Li and Liang Yi and Youbing Peng and Yanbin Lv and Pingzhong Zhang and Antonina Votintseva and Vadim Loginov and Youfeng Ning and Gayatri Kathayat and R. Lawrence Edwards","Cheng, H., Spötl, C., Breitenbach, S. F. M., Sinha, A., Wassenburg, J. A., Jochum, K. P., et al. (2016). Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 6(1). https://doi.org/10.1038/srep36975"
"238","10.1130/G30126A.1","2009","Hai Cheng and Dominik Fleitmann and R. Lawrence Edwards and Xianfeng Wang and Francisco W. Cruz and Augusto S. Auler and Augusto Mangini and Yongjin Wang and Xinggong Kong and Stephen J. Burns and Albert Matter","Cheng, H., Fleitmann, D., Edwards, R. L., Wang, X., Cruz, F. W., Auler, A. S., et al. (2009). Timing and structure of the 8.2 kyr B.P. event inferred from δ18O records of stalagmites from China, Oman, and Brazil. Geology, 37(11), 1007–1010. https://doi.org/10.1130/g30126a.1"
"239","10.1038/nature18591","2016","Hai Cheng and R. Lawrence Edwards and Ashish Sinha and Christoph Spötl and Liang Yi and Shitao Chen and Megan Kelly and Gayatri Kathayat and Xianfeng Wang and Xianglei Li and Xinggong Kong and Yongjin Wang and Youfeng Ning and Haiwei Zhang","Cheng, H., Edwards, R. L., Sinha, A., Spötl, C., Yi, L., Chen, S., et al. (2016). The Asian monsoon over the past 640,000 years and ice age terminations. Nature, 534(7609), 640–646. https://doi.org/10.1038/nature18591"
"240","10.1029/2019GL084705","2020","Hai Xu and Yonaton Goldsmith and Jianghu Lan and Liangcheng Tan and Xulong Wang and Xinying Zhou and Jun Cheng and Yunchao Lang and Congqiang Liu","Xu, H., Goldsmith, Y., Lan, J., Tan, L., Wang, X., Zhou, X., et al. (2020). Juxtaposition of Western Pacific Subtropical High on Asian Summer Monsoon Shapes Subtropical East Asian Precipitation. Geophysical Research Letters, 47(3). https://doi.org/10.1029/2019gl084705"
"241","Harmata, K., 1995. A Late Glacial and early Holocene profile from Jaslo and a recapitulation of the studies on the vegetational history of the Jaslo-Sanok depression in the last 13 000 years. Acta Palaeobotanica, 35(1), pp.15-46.","1995","Harmata","Harmata, K., 1995. A Late Glacial and early Holocene profile from Jaslo and a recapitulation of the studies on the vegetational history of the Jaslo-Sanok depression in the last 13 000 years. Acta Palaeobotanica, 35(1), pp.15-46."
"242","Harrison, S.P., 1980. ""The Geomorphic History of Breadalbane Basin, New South Wales."" M.Sc. thesis, Macquarie University, N.S.W., 292pp.","1986","Harrison","Harrison, S.P., 1980. ""The Geomorphic History of Breadalbane Basin, New South Wales."" M.Sc. thesis, Macquarie University, N.S.W., 292pp."
"243","Haworth, E.Y., 1972. Diatom succession in a core from Pickerel Lake,northeastern South Dakota. Geological Society ofAmerica Bulletin 83 : 157-172.","1968","Haworth","Haworth, E.Y., 1972. Diatom succession in a core from Pickerel Lake,northeastern South Dakota. Geological Society ofAmerica Bulletin 83 : 157-172."
"244","10.2307/1937210","1983","Hazel R. Delcourt and Paul A. Delcourt and Elliott C. Spiker","Delcourt, H. R., Delcourt, P. A., & Spiker, E. C. (1983). A 12 000-Year Record of Forest History form Cahaba Pond, St. Clair County, Alabama. Ecology, 64(4), 874–887. https://doi.org/10.2307/1937210"
"245","10.1007/BF00235752","1995","Heather Almquist-Jacobson and David Sanger","Almquist-Jacobson, H., & Sanger, D. (1995). Holocene climate and vegetation in the Milford drainage basin, Maine, U.S.A., and their implications for human history. Vegetation History and Archaeobotany, 4(4). https://doi.org/10.1007/bf00235752"
"246","10.1016/0033-5894(92)90033-F","1992","Heather Almquist-Jacobson and James E. Almendinger and Sarah Hobbie","Almquist-Jacobson, H., Almendinger, J. E., & Hobbie, S. (1992). Influence of Terrestrial Vegetation on Sediment-Forming Processes in Kettle Lakes of West-Central Minnesota. Quaternary Research, 38(1), 103–116. https://doi.org/10.1016/0033-5894(92)90033-f"
"247","10.1017/qua.2019.55","2019","Heather J. Plumpton and Francis E. Mayle and Bronwen S. Whitney","Plumpton, H. J., Mayle, F. E., & Whitney, B. S. (2019). Long-term impacts of mid-Holocene drier climatic conditions on Bolivian tropical dry forests. Quaternary Research, 93, 204–224. https://doi.org/10.1017/qua.2019.55"
