"","dataset","tsid","longitude","latitude","ipccReg","Category","recordRange","recordRes","recordResPlus","season","climInterp","source"
"264","HjortSo.Wagner.2008","WEB6caee137",-18.7614,76.4331,"GIC","biophysical",9638,189,190,"summerOnly","T","Temp12k"
"265","HLY03_05GC.Mohtadi.2008","T2L_HLY03_05GC_d18o_pachyderma_SST_from_d18o_pachyderma",-63.2578,81.6214,"GIC","isotope",10118,53,53,"annual","T","Temp12k"
"266","HLY0501.deVernal.2013","PYT9Y0BB33N",-157.52,72.6947,"ARO","other microfossil",7984.05,90.5,75.97,"annual","T","Temp12k"
"267","HM03_133_25.Solignac.2008","RGBciJa69Zj",-6.07,60.11,"NEU","other microfossil",9471,91,90,"annual","T","Temp12k"
"268","Holebudalen.Seppa.2009","PYT7BRB3XHJ",6.98,59.83,"NEU","pollen",9475.74,263.215,263.215,"summerOnly","T","Temp12k"
"269","Holebudalen.Seppa.2009","PYT38GE0NJ3",6.98,59.83,"NEU","chironomid",10705.48,263.219999999999,263.219999999999,"summerOnly","T","Temp12k"
"270","Holtjaernen.Giesecke.2008","RAertBwRhYB",14.9264,60.6519,"NEU","pollen",11364,105,104.5,"winterOnly","T","Temp12k"
"271","Holzmaar.Litt.2009","RiqkBNqHL3T",6.8833,50.1167,"WCE","pollen",10875,40,40.5,"annual","T","Temp12k"
"272","HomesteadScarp.McGlone.2010","GH194ddf83",169.138,-52.5518,"SOO","pollen",11656.375,52.8199999999999,52.8199999999999,"summerOnly","T","Temp12k"
"273","Honeymoon.Cwynar.1991","RIlNg5PrONi",-138.4,64.63,"NWN","pollen",10778,116.5,142,"annual","T","Temp12k"
"274","HopeSimpson.Engstrom.1985","M2L8rmkdbgxP",-56.43,52.45,"NEN","pollen",10517,213,213,"annual","T","Temp12k"
"275","HU73_031_7.Keigwin.1995","T2L_HU73_031_7_d18o_ruber_SST_from_d18o_ruber",-55.2483,42.9783,"NAO","isotope",11200,220,220,"annual","T","Temp12k"
"276","HU73_031_7.Keigwin.1995","T2L_HU73_031_7_d18o_pachyderma_SST_from_d18o_pachyderma",-55.2483,42.9783,"NAO","isotope",11200,220,220,"annual","T","Temp12k"
"277","HU84.deVernal.2013","PYTHNY32G95",-57.507,58.3677,"NEN","other microfossil",6328.4,138.9,138.2,"annual","T","Temp12k"
"278","HU87033_87017PC.Andrews.1999","T2L_HU87033_87017PC_d18o_pachyderma_SST_from_d18o_pachyderma",-56.1767,54.6165,"NEN","isotope",11182,93,92.5,"annual","T","Temp12k"
"279","HU87033_87018PC.Andrews.1999","T2L_HU87033_87018PC_d18o_pachyderma_SST_from_d18o_pachyderma",-56.0583,54.7952,"NEN","isotope",8728,391,404,"annual","T","Temp12k"
"280","HU90_013_013.Hillaire-Marcel.1994","T2L_HU90_013_013_d18o_pachyderma_SST_from_d18o_pachyderma",-48.3733,58.2098,"GIC","isotope",10083,238,235,"annual","T","Temp12k"
"281","HU90.deVernal.2013","PYT67GRFWKV",-48.3733,58.2098,"GIC","other microfossil",8436.7,133.6,133.8,"annual","T","Temp12k"
"282","HU91-039-008.Levac.2001","PYTBX6EGUAD",-74.3317,77.2667,"NEN","other microfossil",5207,99.3999999999999,98.5999999999999,"annual","T","Temp12k"
"283","Hudson.Clegg.2011","PYTI3HL2Q73",-145.6667,61.9,"NWN","chironomid",9553.66,98.828,97.6560000000001,"summerOnly","T","Temp12k"
"284","HulunLake.Wen.2009","LPD25ffc1d5",117.5,49.13,"ESB","pollen",11009.2,73.2000000000007,73.2000000000007,"annual","T","Temp12k"
"285","HumberPond3.McAndrews.1989","M2L1araoamkP",-79.48,43.64,"ENA","pollen",4090,78,88.5,"annual","T","Temp12k"
"286","HumberPond5.McAndrews.1989","M2Lbkd197eqP",-79.49,43.64,"ENA","pollen",3879,121,121,"annual","T","Temp12k"
"287","HurlegLake.Zhao.2013","WEB857d0da0",96.91,37.28,"ECA","alkenone",8180,42,41,"summerOnly","T","Temp12k"
"288","Hvitarvatn.Larsen.2013","PYTIFNEXCAM",-19.85,64.6167,"GIC","biophysical",9926.989,20.0140000000001,20.0140000000001,"summerOnly","T","Temp12k"
"289","Hypkana.Hajkova.2016","RMZxFXZy3Ew",22.1636,48.9131,"WCE","chironomid",6845,341.5,342,"summerOnly","T","Temp12k"
"290","Igaliku.Massa.2012","PYT03KZQAVB",-45.43,61,"GIC","pollen",9492.5,75.1000000000004,75.0500000000001,"summerOnly","T","Temp12k"
"291","Iglutalik.Kerwin.2004","M2L3khz4mxcP",-66.08,66.14,"NEN","pollen",8186.1,124.7,124.700000000001,"annual","T","Temp12k"
"292","Indian.Bjorck.1985","M2L73grsf22P",-90.45,50.92,"NEN","pollen",4470,152,152,"annual","T","Temp12k"
"293","IOW225514BAY.Emeis.2003","T2L_IOW225514_uk37_SST_from_uk37",8.704,57.838,"NEU","alkenone",5980,60,60,"annual","T","Temp12k"
"294","IOW225517BAY.Emeis.2003","T2L_IOW225517_uk37_SST_from_uk37",7.091,57.667,"NEU","alkenone",9570,100,100,"annual","T","Temp12k"
"295","Irvin.Cushing.1982","M2L7vpov9ueP",-93.64,47.14,"CNA","pollen",10531,273,253,"annual","T","Temp12k"
"296","Isbenttjonn.Seppa.2009","PYTV6QSJN0Y",7.43,59.77,"NEU","pollen",8621.74,141.565,143.34,"summerOnly","T","Temp12k"
"297","Isokaerret.Asplund.1989","RXzd4kwZ1XC",22.13,60.22,"NEU","pollen",4231.68,102.76,102.76,"annual","T","Temp12k"
"298","Jake.Kerwin.2005","PYT8O5BE482",-65.15,63.67,"NEN","pollen",7822.295,258.779,254.3405,"summerOnly","T","Temp12k"
"299","JamesRossIsland.Mulvaney.2012","WEB3c95e135",-57.685,-64.2017,"WAN","isotope",11900,100,100,"annual","T","Temp12k"
"300","JinchueanBog.Yu.2013","WEB222fb2bd",126.37,42.33,"EAS","isotope",5732,24,24,"summerOnly","T","Temp12k"
"301","JM01-1199.Hald.2007","PYTFYIETUXB",14.36,71.99,"NEU","other microfossil",11884.414,55.4049999999997,55.4049999999997,"summerOnly","T","Temp12k"
"302","JM96-1207.Solignac.2013","PYTGAQBO3C8",-29.35,68.1,"GIC","other microfossil",9470.17,99.6999999999998,99.6999999999998,"annual","T","Temp12k"
"303","JPC42.Caniupan.2014","WEB387ae876",-74.383,-49.917,"SSA","alkenone",8261.971204,139.604166,139.604166,"summerOnly","T","Temp12k"
"304","JPC67.Bertrand.2017","WEB32a51a83",-69.4632,-54.3199,"SSA","alkenone",11796,178,179,"annual","T","Temp12k"
"305","JR01.Fortin.2017","PYT6CZBVE1E",-95.07,69.9,"NEN","pollen",6942.5,102,97,"summerOnly","T","Temp12k"
"306","JR01Chironomid.Fortin.2017","RhF20RCQseU",-95.07,69.9,"NEN","chironomid",6915,43.5,44.5,"summerOnly","T","Temp12k"
"307","JR244_GC528.Roberts.2016","T2L_JR244_GC528_uk37_SST_from_uk37",-58.0405,-53.013,"SSA","alkenone",10890,345,330,"annual","T","Temp12k"
