,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
11300,0.71763134,1.5715756,0.9335604,1.951336,1.9826553,2.540426,1.5868002,1.744048,0.9380938,6.1020155,3.9773002,4.525933,5.550541,2.3241336,2.9674885,2.5480945,1.7055088,1.6888944,1.0007626,1.6465325,0.44067395,4.527234,5.720202,2.4682,2.5863152,3.371537,3.3686807,3.5430188,0.87883145,1.0035287,1.3411568,1.4700769,0.84610236,0.5537318,2.3516374,3.6734037,0.17332684,2.0249693,7.395896,4.6262374,1.8644989,2.274441,1.2022947,5.4801793,0.26064387,0.5928452
11400,0.704417,1.578105,0.92616564,1.9390262,2.0022922,2.551532,1.569116,1.7316238,0.9132034,6.085909,3.9473586,4.527238,5.5557814,2.248943,2.9992607,2.580922,1.7255594,1.6684365,0.99314886,1.6397177,0.4365009,4.564316,5.7238493,2.4771004,2.6317997,3.314428,3.3550744,3.4818325,0.9026287,1.0114528,1.3126981,1.4797708,0.8356261,0.54370993,2.338726,3.6551964,0.16574357,2.0574434,7.4292502,4.6356025,1.9163401,2.3595054,1.2090106,5.462616,0.2631044,0.60083145
11500,0.72124445,1.5574942,0.89539164,1.9172705,1.9631609,2.493597,1.5133638,1.7207223,0.9597269,6.103506,4.0213265,4.581782,5.5131154,2.286881,2.9496257,2.565645,1.7319999,1.6573795,1.0078448,1.6355871,0.43733346,4.5260873,5.696479,2.4849434,2.6252086,3.3819697,3.3659024,3.5824463,0.86652344,1.0095325,1.3068972,1.4654036,0.8175183,0.5543606,2.358045,3.6461349,0.16679902,2.0937004,7.3171325,4.7247295,1.9302248,2.3308315,1.2035104,5.5095305,0.2668804,0.6246946
11600,0.70633954,1.547196,0.88064003,1.9079999,1.9586116,2.4939744,1.5274073,1.7625295,1.0103729,6.057148,4.0338507,4.6060224,5.531925,2.291423,2.9541397,2.5390732,1.7254988,1.6490184,1.0318294,1.6157616,0.42596692,4.5087504,5.6511083,2.4591544,2.5855248,3.3453982,3.3705442,3.651976,0.85399675,1.0210102,1.3042694,1.4450366,0.80055195,0.5496007,2.3390884,3.638376,0.16384047,2.044383,7.2652526,4.7113094,1.9483695,2.3441522,1.230227,5.409702,0.2625078,0.63012093
11700,0.67890424,1.5346885,0.84300023,1.9105039,1.9872943,2.4619968,1.5848118,1.7814313,1.0359566,5.9626307,3.9709263,4.660482,5.5196743,2.333484,2.92302,2.5390446,1.7055615,1.6551627,0.98568046,1.6433506,0.44922334,4.465623,5.698571,2.4724069,2.577229,3.4924016,3.3704786,3.5738678,0.8305258,0.9895583,1.2986825,1.4312412,0.82970494,0.54238445,2.3332477,3.6305494,0.1728311,2.0364132,7.2198043,4.788188,2.0183227,2.3496041,1.2267398,5.385501,0.25901863,0.63929886
11800,0.67950827,1.5377823,0.8445734,1.9161791,1.9726621,2.4711504,1.5741357,1.7534956,0.9815301,6.004865,3.9904318,4.721659,5.544684,2.3091733,2.9475408,2.5317752,1.709957,1.6640217,0.99728537,1.6689492,0.46333158,4.5213532,5.700382,2.4667056,2.5890179,3.4175425,3.3962202,3.512922,0.8286385,1.0174125,1.2879852,1.424848,0.8194369,0.53513604,2.317481,3.5851426,0.16496833,1.976027,7.251729,4.6638145,1.9560162,2.287869,1.2119725,5.4335966,0.2595777,0.63803804
11900,0.67340267,1.5371586,0.8271001,1.8986031,1.9920061,2.4598262,1.5898315,1.7659066,0.99211866,5.9969254,4.018095,4.7047706,5.501098,2.324379,2.9430416,2.538988,1.7098204,1.6779469,0.9901421,1.652023,0.420903,4.4408903,5.674911,2.451916,2.5590577,3.368028,3.3838422,3.5344949,0.8363181,1.009734,1.2911977,1.4287523,0.81142926,0.5385902,2.3238058,3.6178074,0.1652337,2.0167098,7.2250075,4.7526126,2.0142672,2.3803148,1.2619989,5.423673,0.26096076,0.6400372
12000,0.6695552,1.516804,0.8133998,1.8941879,1.908605,2.4906783,1.5199378,1.700858,1.0132943,5.973115,4.0528,4.736403,5.55009,2.335403,2.9332886,2.5303276,1.6943358,1.6583483,1.0045934,1.6640366,0.41569868,4.480544,5.6472545,2.463134,2.6046531,3.4261785,3.3907726,3.563383,0.83186513,1.0049859,1.2825154,1.426007,0.8152724,0.542572,2.320673,3.580925,0.16333681,2.0181124,7.075214,4.8304734,2.007796,2.3663232,1.2399108,5.400127,0.2619382,0.6335389
12100,0.66475815,1.5282433,0.80528826,1.9196613,1.9059249,2.4661033,1.518706,1.6519357,0.95992184,6.012355,3.9679856,4.6731024,5.5308833,2.3200095,2.9503942,2.545202,1.7141246,1.6847817,1.0257431,1.6631656,0.41938415,4.422219,5.6741943,2.5069919,2.6401012,3.3890812,3.4023407,3.6213963,0.8324375,1.025305,1.2986063,1.4170027,0.8281386,0.5381195,2.3445673,3.577782,0.1716493,2.042962,7.1296988,4.7866807,2.0153127,2.3847365,1.2732989,5.5021114,0.26351714,0.63106793
12200,0.64868504,1.5111357,0.8032159,1.9038391,1.888847,2.4591155,1.5467635,1.6767577,0.9911336,5.9281764,3.9861298,4.718574,5.481942,2.3020074,2.927863,2.5291705,1.7007273,1.674455,1.0077296,1.6816888,0.43283156,4.453675,5.6778045,2.481654,2.6526215,3.448845,3.399125,3.598982,0.8246026,1.0293016,1.300158,1.4282504,0.80941594,0.5321144,2.314046,3.5634072,0.16354379,2.0041726,7.060465,4.8663063,1.9827305,2.3967373,1.2437189,5.459597,0.26112783,0.6249351
