"composite...1","composite...2","composite...3","composite...4"
1.81022075148177,1.84887965382611,1.90151988656772,1.54120150334443
1.66168308238045,1.76955142937672,1.77610962812301,1.39775461469226
1.93566289199676,2.03989137628765,2.07711427517515,1.67846234830672
2.03692834050127,2.08043082158526,2.17781920541837,1.78526953463291
1.70476748946798,1.86916654913611,1.82389634919249,1.37008933308195
1.8582509077049,1.94046103380665,1.96362856605883,1.53493054178556
1.85749378108473,1.84580895617568,1.96481224325514,1.56084195141455
2.42034784307144,2.41271120573048,2.56183491671374,2.1279519232145
2.42345150762724,2.42033922027564,2.56461870096301,2.13128237043645
2.7875724453268,2.72769585432132,2.96625873508037,2.5232015122702
2.82217933740874,2.67498789241781,2.98758159807932,2.54357061945704
3.23876931503676,3.07924239611587,3.42363062719374,2.92760249984786
