,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
45,Ampoix.deBeaulieu.1987,lcRzKfq7RvNCVSyqy45,11190,90,4,6070,0.916,0.33,215.79,FALSE,lcRPDRIz0kQ9cxTFVRf
46,Amsoldingersee.author.1111,lcRfCizSKB6ZgoMyshg,9310,230,4,4040,0.082,0.47,223.07,FALSE,lcRsR5yUuOR5uG1tiuW
47,Amtkel.Kvavadze.1989,lcR46P98H81gQM2SPUp,1820,130,3,720,0.086,0.29,35.96,FALSE,lcRimtjJf3OSve1QJsG
48,Amtkel1.Kvavadze.1989,lcRBr9yxiVpjpG6LS4V,2470,70,6,560,0.533,0.29,41.26,FALSE,lcRfmfI9fgcdYxs4TYA
49,Ancenis.Cyprien.2001,lcRksFtElBO3vhHBA4K,7950,100,6,1810,0.742,0.22,139.66,FALSE,lcRysBGPD01UuiH4nGC
50,AndersonPond.Delcourt.1979,lcRhKPGMaPcFWtbG4hI,11320,280,3,6430,0.365,0.54,103.39,FALSE,lcRPXX54S6luXNG82NO
51,AndersonPond.Liu.2013,lcRk8316jyrRx7YGKHM,1290,50,3,1020,0.472,0.57,108.11,FALSE,lcRSAsO9dzNsBSF2wpS
52,AndrusLake.Charles.1984,lcRMLAgfhMUGAuZlTY6,190,10,26,30,0.567,0.08,37.51,FALSE,lcRYGJ2STfn1sTFN1Cd
53,AndyLake.Szeicz.1995,lcR8A5ZvFBd6JnoobOC,12010,230,3,4770,0.253,0.45,63.93,FALSE,lcR7WPdhwHT9tfcXlSH
54,Anenskeudoli.Kunes.2007,lcRIKAFwjektjElsKhU,9000,290,4,3670,0.177,0.37,229.09,FALSE,lcRbmxbut83aJ9pVbHR
55,AngalLake.Brubaker.1983,lcR0dEnXpShjy1rRMSc,11960,450,2,7450,0.02,0.27,42.39,FALSE,lcRPwlVYHmGrBvtWby4
56,Anneray.author.1111,lcRPF41m6wuScI9rGeV,7650,370,2,4750,0.308,0.15,126.38,FALSE,lcRwkfCAm5tWkHVSUmt
57,AnsedeGattemare.Coutard.2003,lcRPWhjsOPwPcAVwwMb,4420,140,3,1550,0.589,0.18,117.21,FALSE,lcRkHJJkZN9u2ymv14x
58,AnseSaintMartin.Lespez.2005,lcRsQrkzLXR3XmYWkay,3780,80,3,2190,0.531,0.12,112.4,FALSE,lcRXGsX01cwh8LdmkNy
