,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
1076,LakeFlarken.Digerfeldt.1977,lcR9ZEJ70ydGHsddXWu,11830,80,12,2050,0.687,0.24,54.75,FALSE,lcRsBsfYQHavgtRRqSc
1077,LakeGB1.Gajewski.1991,lcReb93jeTIlbBVrtsn,6370,320,3,2960,0.977,0.11,44.9,FALSE,lcRfpyuiho3VMMrfA1I
1078,LakeGB2.Gajewski.1993,lcR7rFnUaCTDzZFVaXq,7110,110,4,3160,0.008,0.38,68.43,FALSE,lcRqc9uCK7eTPnb5Jgy
1079,LakeGramousti.Willis.1992,lcRjbt4kZqxXajY4Nud,10570,120,4,5330,0.01,0.42,172.82,FALSE,lcRmBMrDy8Gp2o3oQYv
1080,LakeGrinnell.Zhao.2010,lcRTFzF9IdSdplxVIsK,12030,150,7,2450,0.065,0.6,100.4,TRUE,lcR1YEmkBR0chC0rycN
1081,LakeHancza.Lauterbach.2011,lcRk5sIXTA5ykiJNxro,7780,50,11,1780,0.172,0.25,121.69,FALSE,lcRZT143I8i1tB4yGih
1082,LakeHill.Graham.2016,lcRE3gi87RMwdO3rlwb,11350,130,7,5260,0.033,0.42,50.95,FALSE,lcRDdfXb6Uxji1zvjwb
1083,LakeHopeSimpson.Engstrom.1985,lcRFb6maJgX8W7JkqUI,11670,200,5,3170,0.14,0.54,170.49,FALSE,lcRyGNW8IcRMI878lbq
1084,LakeHopseidet.Seppa.1996,lcRutqcY9zUv6rt0jLv,12030,240,3,5090,0.914,0.29,80.65,FALSE,lcRtLxDINsojJqEuX7o
1085,LakeIfjord.Seppa.1996,lcRAUcXUOJbGu1A7YPV,12040,150,4,7340,0.541,0.27,144.3,FALSE,lcRZQSTno2p0QQyLboB
1086,LakeIznik.Miebach.2016,lcRV0znfKqhiGHRw1X9,11560,110,5,5620,0.332,0.26,102.19,FALSE,lcRKQrMk14UEQ9r9MgI
1087,LakeJake.Miller.2005,lcRq6t1IHrB7zTbN9av,9700,230,7,2250,0.008,0.6,116.85,TRUE,lcRzUtYLzO8FWnX3TAz
1088,LakeJarveotsa.Poska.1994,lcRCMH4icyePJjNDLHs,11620,380,4,8070,0.885,0.23,78.29,FALSE,lcRMi9rDuoOaPt2SU2j
1089,LakeKahala.Poska.1999,lcRINrE0VsheT5FuVxy,11580,160,13,1760,0.157,0.27,89.65,FALSE,lcRup16Kn3gcSGaIID4
1090,LakeKarujarv.Saarse.1992,lcRwA3fljetl3dGrZQb,7330,80,10,1350,0.617,0.24,64.67,FALSE,lcRMmQ0vAF0XC7Sp6UT
1091,LakeKharinei.Salonen.2011,lcR1QLJKVpqpCOuho1m,11130,100,14,5690,0.001,0.34,63.29,FALSE,lcR8JIP8m5gnhSmL3Qo
1092,LakeKolmilatrask.SarmajaKorjonen.1991,lcRoERWnR9u9BvZoPoT,2340,40,4,670,0.068,0.3,92.59,FALSE,lcRRHtc6wY8M0SYMYS3
1093,LakeKotokel.Tarasov.2009,lcRI6nesS0WfnsNDDOS,11880,130,1,6970,0.477,0.32,82.3,FALSE,lcR0Ey4ZzApfco9xiZh
1094,LakeKvarntrask.SarmajaKorjonen.1991,lcRFa1ZTaMsCAzgWYSw,4220,50,4,3010,0.788,0.41,131.26,FALSE,lcRWTYrWarFcSFVTU2j
1095,LakeLama.Andreev.2004,lcRj79jvysIXNSVfTGw,11680,180,20,10510,0.013,0.57,65.06,FALSE,lcRHgyzsS9QhZ2IELaX
1096,LakeLamskoye.Dolukhanov.2007,lcRCRP0KtodZ8xWwZUT,2100,95,5,680,0.354,0.3,93.69,FALSE,lcRgFbY6uIGCMD6jUvp
1097,LakeLB1.Gajewski.1993,lcRJebEqyeZJeTWr9gD,7360,170,4,2780,0.046,0.49,70.04,TRUE,lcR6GfOLfXf59HpsNHK
1098,LakeLednica.Makohonienko.1991,lcRWwE0yRMkrG3cJ1o3,10080,120,9,3280,0.492,0.2,94.45,FALSE,lcRckrjJYv7zY5Ks84Q
1099,LakeLerna.Jahns.1993,lcRUz56J3yQSWXe3jaT,7670,130,8,1460,0.616,0.3,106.34,FALSE,lcRxS9fsSAExuimWnkW
1100,LakeLouise.Watts.1971,lcRVHO8apJOcUttdhe9,9680,350,2,7630,0.218,0.27,119.61,FALSE,lcRVUKVlOthmRV86OGf
1101,LakeLR1.Gajewski.1993,lcRtRnGySTeVBVa1lw7,7520,345,4,2300,0.423,0.29,49.32,FALSE,lcR9Umj38A7O6jcZWiF
1102,LakeLR3.Gajewski.1992,lcRi8FU702YSZonZnM4,6580,350,3,2910,0.484,0.43,48.13,FALSE,lcRCAFjC0e4zFihkXaf
1103,LakeLT1.Gajewski.1992,lcRV3beFJzQSBrykPqs,7320,465,4,3970,0.146,0.24,36.76,FALSE,lcRP691dZkg7BpWmkRv
1104,LakeMaardu.Poska.2004,lcRxw1pGTxpoiCzCeA8,11030,120,8,3460,0.118,0.24,77,FALSE,lcRibJgBd7HC5RWchD4
1105,LakeMaardu.Saarse.1990,lcRC7n0cAeGPcSfVQdp,8760,140,3,3490,0.197,0.23,81.05,FALSE,lcRBZYv0k64ejHIRKRk
1106,LakeMadjagara.Tarasov.1994,lcRHYH3aH09AfQBm4iP,8300,120,8,2400,0.358,0.14,26.79,FALSE,lcRxM8Szft9IRl8VVLx
1107,LakeMaliq.Bordon.2009,lcRZ4OGajBJM9TJ1JWZ,11660,70,13,2290,0.133,0.42,196.88,FALSE,lcRON6hrOXouSqvkY5v
1108,LakeManyas.Leroy.2002,lcRrVZB7wmokAB62FP3,4000,520,2,2500,0.389,0.25,60.43,FALSE,lcRzvOaUevnSXBQWKf6
1109,LakeMary.Bender.1970,lcRapvQ3IQ5YqtdZVLL,11830,535,3,5560,0.878,0.22,43.09,FALSE,lcRPXp8HuNF9Hq353FY
1110,LakeMedvedevskoye.Subetto.2002,lcRfWe7O7DuNjX03zKT,2180,90,5,910,0.004,0.43,64.68,FALSE,lcRs5Rxcxg6Pqpk47sn
1111,LakeMendota.Winkler.1985,lcRjFqlvYt7TTlw7kVz,11140,360,4,3290,0.187,0.57,79.42,FALSE,lcRrAysXbWOnsfWhegK
1112,LakeMendota.Winkler.1985,lcRutOFEMzBE95XgK2u,11050,625,4,4340,0.486,0.33,68.28,FALSE,lcRjwW6Zn4Y8hoGKMsr
1113,LakeMikolajki.RalskaJasiewiczowa.1966,lcRJabiuf13P0cgBmIO,12050,110,3,5270,0.135,0.26,96.94,FALSE,lcRXsvNgnXDYaNVxyFi
1114,LakeMinnie.Almendinger.1992,lcR7cjjinpboCE0IJ4B,12030,180,3,5420,0.264,0.62,73.09,FALSE,lcRGm79m2tKJxQTNyQe
1115,LakeMullsjon.Bjorck.1989,lcRqllSkDYVSjSMjdlG,2310,250,4,1530,0.167,0.22,79.3,FALSE,lcRbslkEyKKStZ1UDKI
1116,LakeNero.Gunova.1975,lcRDXTfbHZgMjycPWLD,8310,170,3,6300,0.101,0.35,47.23,FALSE,lcR107t0hjWUbtXMAIt
1117,LakeNuochaga.Andreev.1989,lcR8B1gYkNzJH7GvP6s,6600,120,4,2520,0.617,0.12,38.67,FALSE,lcRh7ZxzVU7yvHNAm0Y
1118,LakeofAnnecy.Noel.2001,lcRt0FUN0FQDnjpuxwL,5360,155,7,1070,0.691,0.16,190.99,FALSE,lcRg06JNxnInpUWg1e6
1119,LakeoftheClouds.Stuiver.1971,lcR8m68vyuzp4lQcrXx,9750,275,31,830,0.29,0.46,66.63,FALSE,lcRJp7JAmXyka6OhKeg
1120,LakeoftheClouds.Stuiver.1971,lcRjB4iRhkWknjAvOaQ,1850,20,29,1090,0.874,0.44,42.91,FALSE,lcRp4ZgKojjGNPOnTk5
1121,LakeOPines.Ewing.2000,lcRJwgpkQiLOybjHbhR,11790,340,5,3310,0.287,0.43,57.65,FALSE,lcRu3aWBDxfhSv66uwJ
1122,LakeOrestias.Bottema.1974,lcRO2AdG8iGW2c5B0Or,4430,260,2,3600,0.162,0.17,39.61,FALSE,lcRLS5RhiNiNJBQ9b3P
1123,LakeOrestias.Kouli.2010,lcRcTNBb3Sp6nvqfp44,9140,90,4,2740,0.15,0.38,160.74,FALSE,lcRsKK1LN6UZnRRKkKI
1124,LakePastorskoye.Subetto.2002,lcRMIY7FFUYSEGx58hT,4690,250,7,4290,0.037,0.34,81.52,FALSE,lcR2TcPlS5g3km1VKpF
1125,LakePatzcuaro.DeeveyJr.1944,lcRfrtrYbvpxldxQnHP,11150,160,3,6450,0.925,0.75,52.97,FALSE,lcRJpBDcGgIGM8uFL6a
1126,LakePetenItza.CorreaMetrio.2012,lcR3FEkwbohmwNQ2tlX,12020,150,6,5260,0.404,0.3,132.15,FALSE,lcRAfQTEXFM0BwVzZwS
1127,LakePlaaniKulajarv.Niinemets.2007,lcRzC8rq2P51ucfUEqs,8520,110,8,2620,0.218,0.2,59.72,FALSE,lcRdgg5fclRtqRfS0eM
1128,LakePWWL.Gajewski.2001,lcRcwbi7rN6tPsZ6N1A,10690,890,5,3120,0.004,0.25,51.42,FALSE,lcRno35Hc6QP45tSwBb
1129,LakeQC.McAndrews.1993,lcRlU8rGKcJO3oV5AkB,11430,420,3,4330,0.805,0.45,69.65,FALSE,lcRFbs6u7KctH35VwFu
1130,LakeRacou.Guiter.2005,lcRk10oD1Ws1HEoXlVJ,11720,140,7,2360,0.558,0.28,174.7,FALSE,lcRVdvCDqdSBsdHnPf2
1131,LakeRacze.Latalowa.1992,lcRoPpaKeUVqMREz5Zh,11900,90,10,4440,0.32,0.24,123.75,FALSE,lcRcV37rdHZVIgjDrJq
1132,LakeRS29.Gajewski.1995,lcRUqCeKhO8BWJEByfn,11190,365,7,4020,0.077,0.38,64.38,FALSE,lcRDMjUuBXcdJcxyD8M
1133,LakeRS36.Gajewski.1995,lcRWqwJvUc8Ny1Wz9jv,10550,365,7,2740,0.994,0.54,82.92,FALSE,lcRPeCGS5EvRS1RbXNK
1134,LakeRuila.Poska.2002,lcRbsZm9xCVBmP68USR,12010,230,9,2920,0.119,0.29,90.89,FALSE,lcRUWOitPNcnwB1QMld
1135,LakeSambosjon.Digerfeldt.1982,lcRWgmBqJa8GeFYJXj3,11220,100,15,1480,0.611,0.23,65.81,FALSE,lcR0LrIExXEhpjoHFbt
1136,LakeShablaEzeretz.Bozilova.1986,lcR0hqVoZzqFd7YkwBg,7460,190,8,1400,0.385,0.38,53.92,FALSE,lcR6lnc7NaMVAhScxiH
1137,LakeShelby.Liu.1993,lcRPa6iPX6PMDLoOkUs,5510,120,6,2170,0.768,0.31,94.3,FALSE,lcRHBKCiQIz1ieIrXLr
1138,LakeSix.Liu.1990,lcRF73k8Bqh1dI8tXNh,10090,260,3,3440,0.1,0.48,75.91,FALSE,lcRH3fht7HdpItZGtex
1139,LakeSixteen.Futyma.1986,lcR5ccnps1FbrwSzWxe,9460,240,4,3390,0.01,0.52,80.74,FALSE,lcR4JGJ4h01VELee2yA
1140,LakeSkaidejavri.Seppa.1996,lcRMzcl8ujU8NN4nCcG,10430,90,5,5170,0.591,0.27,121.62,FALSE,lcRh3rkvWggY7OqhVDO
1141,LakeSkrzetuszewskie.author.1111,lcRxBznhWHIuKj92TLu,10180,130,4,4690,0.726,0.3,76.56,FALSE,lcRxF2nHuUM9YuBYY84
1142,LakeSkrzetuszewskie.Tobolski.1990,lcRgDndnla99XGgdaL1,11450,135,16,2330,0.674,0.28,115.28,FALSE,lcRoyN6hVoEpwlVLVv7
1143,LakeSokoch.Dirksen.2015,lcRQxhfuKKgkAJqJrQE,10280,180,7,3400,0.619,0.19,16.55,FALSE,lcRszpQy7aG1Ro3DqLx
1144,LakeSolso.Odgaard.1988,lcR6XGIZJJ6sUMOSpGg,11200,140,34,1890,0.295,0.23,130.64,FALSE,lcRMjyRkTE7TVMBnams
1145,LakeSolso.Odgaard.1988,lcRonkgxC2OuZ5Khx0O,6750,180,7,1390,0.097,0.17,57.97,TRUE,lcRljPtZ05ZxPnroyc8
1146,LakeTianchi.Jiang.2019,lcRLUGwe6u9sNwCWBA0,11690,350,12,2000,0.028,0.68,54.47,TRUE,lcRSmd4m9pt0xP9pwEY
1147,LakeTsuolbmajavri.Seppa.2001,lcRvqHIXTTEf7mZfiSV,9930,60,13,1420,0.291,0.27,139.8,FALSE,lcR7jW2OeM8vobxGPu3
1148,LakeTulane.Grimm.1993,lcRRlMsGtvAa7HMFJ9c,11920,190,5,3090,0.137,0.27,108.44,FALSE,lcReiUrhSH0eBIPlklf
1149,LakeUrmia.Bottema.1987,lcRoZZrvcXc3B52wlc9,8440,230,3,4280,0.02,0.29,71.46,FALSE,lcRT7gOwaOGlooQgR4v
1150,LakeVarna.Bozilova.1994,lcRhKKCltAxEDzfFkL8,9750,205,4,5350,0.2,0.3,93.48,FALSE,lcRweTh4k97oYo0KnFe
1151,LakeVarna.FilipovaMarinova.2016,lcR1swPAuEHYu5rmwNE,8020,110,6,3280,0.033,0.38,62.93,TRUE,lcRip3olDqVT4j2T1L6
1152,LakeVerijarv.Niinemets.2006,lcR42YeZ6QPfP1HbJJ3,11230,20,6,4060,0.152,0.25,97.12,FALSE,lcRV4lp7EzyUFenowgc
1153,LakeVoulkaria.Jahns.2005,lcR92SM1LEHTVnz3T6Q,10170,60,15,2000,0.037,0.21,71.51,TRUE,lcRic6zQLPQsyFlzbWB
1154,LakeWA01.Ravindra.2009,lcRBEvaydIFwOnSZuma,10500,60,37,2560,0.04,0.45,93.31,TRUE,lcRdtbiak4cBS9UNCl2
1155,LakeXinias.Bottema.1979,lcRr1ehnK0RbkdJTihb,11120,1080,0,11120,0.972,0.47,152.45,FALSE,lcRyNYMv8aoyix9tcyJ
1156,LakeYarnyshnoe.Snyder.2000,lcRo2ivyPBqRPpJH6bh,11130,200,8,2010,0.64,0.35,118.25,FALSE,lcR7mouK1bdLLBCXcex
1157,LakeZeribar.Bottema.1987,lcRocsBKvOQoDQyobr6,9190,180,1,6570,0.25,0.42,113.07,FALSE,lcRZtB5mpyr3VQaRzEp
1158,LaMolinamire.LopezMerino.2011,lcRQ41qWthSi1ge1Bja,4610,30,6,1770,0.143,0.18,147.59,FALSE,lcR3yQ9e7IeHs6dQBio
1159,Landshaftnoe.Elina.1981,lcRpnllDxEkRhU6QXHT,8870,210,2,5430,0.105,0.34,68,FALSE,lcRkaPphRWlbaL0ndxX
1160,Langarud.Haghani.2015,lcR6YN84XmJaputioPS,650,30,2,600,0.006,0.55,161.83,FALSE,lcR5TzsAY6wVgFQNShX
1161,LangesFennKemnitzerheide.Brande.1999,lcRdglP6Cmp8RfQA2gV,12010,150,5,3040,0.643,0.29,165.45,FALSE,lcRFCmshdnE4opc77Zl
1162,LannVihan.Visset.2006,lcRYjv2UwfzXEdOsOiJ,4280,50,8,2280,0.595,0.25,148.53,FALSE,lcRhD671orHyMjUCEuA
1163,LAnseauxMeadowsRoadCutBog.Davis.1980,lcRCY94FPyWyAKSGB0A,7100,460,2,4780,0.039,0.07,58.16,FALSE,lcRdglygpFoRpQcwNHN
1164,LAnseauxMeadowsSite.Davis.1988,lcRk7xVR8hMMEqggKDr,2390,30,4,1050,0.202,0.26,90.22,FALSE,lcR1cKzC8r9R8vucTjR
1165,Lanzahita.LopezSaez.2010,lcRxS2SNwecqCK6crlO,2530,50,6,750,0.284,0.29,79.76,FALSE,lcReSJSKgvjfve4wedT
1166,Lanzhou.Wang.1991,lcR4SItVef2d7zphI2H,7570,680,7,3970,0.782,0.21,47.36,FALSE,lcRnvZ2Dz8FzwXVtU1C
1167,Laotanfang.Zhang.2006,lcRcUm5LdMdsdGspRd7,9140,260,2,11270,0.006,0.48,91.9,FALSE,lcRLN6cqo03WtXt778J
1168,LaPrairieduCassoir.Visset.1999,lcRAws4NTU6u0nMOaq1,1970,30,4,980,0.365,0.23,99.25,FALSE,lcRQkRYneJWSN4432nG
1169,LaptevPM9462.Naidina.2001,lcRMU6jHThSNuy8x1FC,0,0,1,11600,0.034,0.19,55.69,FALSE,lcRFU1exwgjEmcmZXy7
1170,LarixlaricinaSite10.Penalba.1997,lcRq59lspw7QtIx9vIX,2100,120,4,780,0.444,0.33,68.97,FALSE,lcRNizV9GxX4qhbje72
1171,LarixlaricinaSite5.Penalba.1997,lcRz3iMAf5YXkq554az,4420,150,6,1320,0.077,0.71,116.28,TRUE,lcRx5uBPq8eGkZgQaPX
1172,LasFloresArroyo.Anderson.1998,lcRJV075j4O6SiNyaJj,4060,330,3,2070,0.216,0.22,93.27,FALSE,lcRQcsmlXdytIN6vq2M
1173,LasPardillasLake.Goni.1999,lcRzoxvFbGsnJvSBZIa,10870,170,4,3930,0.403,0.28,139.4,FALSE,lcR1Xo1CUIVzUbMsK5j
1174,LastChanceLake.Higuera.2006,lcRaB2mF5l2w3zkO2Db,1700,170,4,730,0.164,0.19,18.78,FALSE,lcRaWvWKLxxjXV06eHw
1175,Lastioulles.deBeaulieu.1982,lcReKvQhNJk854b3vZt,10730,170,2,6140,0.566,0.44,217.62,FALSE,lcRWnqtEZRTpCvF9QPl
1176,LateralPond.Ritchie.1982,lcROXnONBelLkTChI09,11640,280,2,7680,0.013,0.43,58.73,FALSE,lcRO3H7u2D2lvZS02iV
1177,Lauenensee.Rey.2013,lcRUXzuzPKVQdj6aKzS,11960,40,9,3160,0.194,0.32,197.06,FALSE,lcRZb8DNai0nc3IXoPL
1178,Lavare.Barbier.1999,lcRUApG1bQnT5Xesmh8,2610,50,6,550,0.01,0.16,94.01,FALSE,lcRCcnRy2Jvwkt8XiG3
1179,Lavau.Voeltzel.1987,lcRQLFkYUzyqFavzbXI,6510,40,5,2500,0.064,0.49,225.85,TRUE,lcRubRc8aVjke2aZF9I
1180,LaVerderie.Barbier.1999,lcR7e5I1A2KcdxWQzyO,1570,80,3,960,0.317,0.17,93.35,FALSE,lcRqUUw5p9l7ZuFkv6m
1181,LaVerderie.Barbier.1999,lcRqUDgltwzKyZWFrEO,1580,70,3,950,0.702,0.17,69.32,FALSE,lcRIOk0ijWEyfO508c8
1182,LaVerderie.Barbier.1999,lcR9EMEpF3MiPDXn3k0,2580,130,4,1240,0.024,0.15,102.99,FALSE,lcRoil0AGqH4qDE5xnF
1183,LaVie.Barbier.1999,lcRcI51jzAueaHC9k3O,11310,310,5,4040,0.095,0.13,136.86,FALSE,lcRQaWKHYVFMTr84fRi
1184,LDLake.Mott.1976,lcR77XK4CDuKGMeiwtz,8100,220,2,4180,0.035,0.21,72.93,FALSE,lcRRNXQ6hDgFkk9EIzS
1185,LeadingTickles.Anderson.1994,lcRT5R9OhtLtse43Zdb,12010,320,4,4160,0.218,0.53,163.36,FALSE,lcR1n6zt9OBF6FjWeR0
1186,Leerdam.deKlerk.1997,lcRdHq2TAQMlVqFTPPY,660,40,2,440,0.333,0.09,70.33,FALSE,lcRqNSeiMWBDKGUilZr
1187,Leerdam.deKlerk.1997,lcR3yyjWokjZi0fAj4l,1490,120,2,770,0.039,0.16,91.18,FALSE,lcRmxEAZglrh0Fwqn63
1188,LeFourneau.Barbier.2000,lcRO66HhB9HOPSTtGWS,11910,260,8,3810,0.09,0.22,142.22,TRUE,lcRD5PAl0tKvcZwJv4i
1189,LeGesvres.Ouguerram.2002,lcRzquIL84dpfJdywy3,9810,50,8,2660,0.06,0.47,173.78,TRUE,lcRT2kTgFa262lEtTgj
1190,LeGrandLemps.Clerc.1988,lcRNOr8opbTJbrcjL9S,10770,30,6,2580,0.594,0.31,228.03,FALSE,lcRfN1KUUNOnar7TN0o
1191,LeGrandLemps.Clerc.1988,lcR9lLruY4JAhazgLLf,10910,50,5,4350,0.303,0.29,205.05,FALSE,lcRuy8SvzgyzeW6WY3H
1192,LeGrandLemps.Clerc.1988,lcRgsnHSMF9NjsPuMh2,5180,320,2,2390,0.668,0.46,216.53,FALSE,lcR0Q9GUPQmEDshgGER
1193,LeGrandMontarnu.JouffroyBapicot.2010,lcRuFojirWp064wPgS0,7760,125,7,1690,0.339,0.18,146.08,FALSE,lcRYfOYI7aac4tbeaBj
1194,LejdaChampfer.Gobet.2005,lcRU88QgoMtobQ78a50,12000,90,17,2850,0.007,0.42,185.16,TRUE,lcRUHrYJ6SLfLrSDWve
1195,LeJolan.deBeaulieu.1982,lcR8b1Vmokdn0CNxjw9,11490,145,2,5520,0.296,0.43,307.28,FALSE,lcR7WshplIZk0Ig6Ykr
1196,LeLochSunart.Mokeddem.2007,lcRXo4g82qyLlXOlThU,9640,130,2,6830,0.073,0.37,219.62,FALSE,lcRfNO7VXFvIBzrytnB
1197,LeLoclat.Hadorn.1992,lcR5OwcR0WFaTbLdkmu,11880,60,7,4120,0.039,0.46,250,FALSE,lcR8ujG9JUN6aAMohh3
1198,LeMaraisdelaPergeSouth.Diot.1995,lcRiPXC1QOIC1ugFpbT,6930,320,6,1890,0.022,0.14,130.43,TRUE,lcRIH3zSKguNehTjxgh
1199,LeMaraisStBoetien.vanZeist.1980,lcRzxlsXjoFlP3tfv8m,6930,180,5,3630,0.571,0.16,116.53,FALSE,lcRCekJvig4bqTKPPLm
1200,Lembolovskoyelake.Arslanov.2001,lcRuBI86L2fbLUHGeuU,11890,205,38,1130,0.009,0.33,84.21,TRUE,lcRaCaHblSuluuABS2H
1201,LeMiroir.Richard.1996,lcR6Fj25yP9Fjdechbs,11390,180,2,8010,0.042,0.17,116.75,FALSE,lcRekbs9Ivw4L5NMtd5
1202,LengiEgga.Tinner.2003,lcRDaBFqX5ngLCim0hE,11960,160,13,3490,0.141,0.45,212.96,FALSE,lcRSyC0mRPKIvNWRNnF
1203,LesHumelles.author.1111,lcRqZdbAVGqYI1Io5Ar,9920,70,6,3590,0.152,0.2,171.31,FALSE,lcRmAGwgcvcTQC7IwQz
1204,LesLaubies.de.1972,lcRBas3fiF0ZOHhTOqc,9360,340,3,5540,0.395,0.11,102.98,FALSE,lcRrjYQRlszaEksZtNx
1205,LesNans.Gauthier.2001,lcRA8eJRE9wJqQ1crSq,1050,40,2,580,0.19,0.16,119.56,FALSE,lcRtDJ1V4PYoNG1R6vG
1206,LesNaudieres.Poirier.2013,lcRIBj8uOcbdTI1o6zM,1390,20,7,580,0.093,0.15,101.87,FALSE,lcREowXKiKEesZXW7ym
1207,LesnayaRiverExposure.Anderson.2002,lcRYplpG0hn70VB88tJ,7090,165,5,4430,0.396,0.63,103.08,FALSE,lcRskr6nVv9wW1mQFi2
1208,LesNoes.Visset.2005,lcREQZqJv3raQfLpyjk,2750,20,6,1110,0.258,0.24,112.92,FALSE,lcRVyDkiagCqL1MnEiH
1209,LesnoyeLake.Anderson.2002,lcRwpK9bQiWfKg4DjdM,11770,300,6,3370,0.678,0.48,87.82,FALSE,lcR89hdsI5ug5oAwmiT
1210,LesPalanques.PerezObiol.1988,lcR8vts35ymFexbgG1l,10230,130,3,5780,0.337,0.41,210.89,FALSE,lcRxwfs1WSVQ2uC5Z4Z
1211,LesTannieres.McGhee.1975,lcRI6PesK6LAhxVW3Au,470,20,2,330,0.165,0.16,100.04,FALSE,lcRLdbsD9LLiAP4lGZe
1212,LeVernay.JouffroyBapicot.2010,lcR9HGoKmgmTDgDYJwp,9210,150,7,2530,0.489,0.2,162.11,FALSE,lcRf9RweghNbueflPNQ
1213,LeVernydesBrulons.JouffroyBapicot.2010,lcRUigBziiOYrrbXGyT,11450,230,4,4190,0.082,0.23,163.84,FALSE,lcRdv7fkSuTTbrAtQPq
1214,LevinsonLessingLake.Andreev.2013,lcR1stvNduNwEmIIMRk,11970,380,2,7050,0.063,0.19,46.23,FALSE,lcRxf2X9uaqB3VwpeEr
1215,Lezerulcalimani.Farcas.1999,lcRRiPKHTYE1xssaIIX,10830,160,8,5350,0.29,0.33,170.66,FALSE,lcRT9il5rJgLQuxxvIL
1216,LigninLake.Nakagawa.1998,lcRNuGExxit5fjeUHbV,4510,110,4,3070,0.106,0.45,210.29,FALSE,lcR3trnujN2vdq40PX5
1217,LiivjarveBog.Koff.1990,lcRgBRP8UfmIPw1XFz5,10530,150,7,3190,0.132,0.43,121.19,FALSE,lcRH1CE9fpm12jK7DUC
1218,LillaGloppsjon.AlmquistJacobson.1994,lcRHTVRrhg19H5d5rOt,10970,120,12,1450,0.816,0.23,50.07,FALSE,lcRcVF3UeEnAVvvRdEe
1219,LilleKjelavatn.Birks.2007,lcRyQRzcwKdCEM16Z9h,8870,110,6,2500,0.01,0.47,143.34,TRUE,lcRHiNMVqHrkgaiKciW
1220,LilyLake.Brugam.1988,lcRbeYNtd257SS2qxn5,11420,420,6,3610,0.127,0.63,88.76,FALSE,lcR1JylqsCSvzfkjqAs
1221,LilyLake.Cwynar.1990,lcRPCIzys1FJAv11nWi,11990,160,13,1850,0.007,0.66,354.13,TRUE,lcR3xlihTE4fGIxbtbx
1222,LilyLake.Flakne.2003,lcRjUN7lrKnYMS1DSr3,9590,140,6,2520,0.01,0.52,78.1,TRUE,lcR5cbF54Dx4lUwGiMW
1223,LilyLake.Hotchkiss.2007,lcRjUA5JpKAySWXyUdi,2250,55,13,1190,0.246,0.32,30.69,FALSE,lcRSUy079HLRC5yDEVc
1224,LilyLake.Minckley.2007,lcROBIER3oUzr1eINaV,11650,110,7,3280,0.001,0.39,167.41,TRUE,lcRVvZsSDMQEuuiFLFZ
1225,LilyLake.Steventon.1988,lcRVsL4dNu7B3NA0Bwi,8960,290,3,4870,0.139,0.37,45.95,FALSE,lcRnh2kwgASoSUHlmI4
1226,LilyLake.UmbanhowarJr.2004,lcRsVweIFsupE4Of3wg,630,30,3,480,0.333,0.31,60.19,FALSE,lcRVJgWQY679frRuVkc
1227,LilyLakeFen.Steventon.1987,lcR7tA4fHiUeu3itZqx,5550,520,2,4100,0.015,0.37,82.36,FALSE,lcR3Y8OcD3AwbbQDcTY
1228,LilypadLake.Edlund.1996,lcR5kZ6da43TA8Rnqv7,11920,540,3,9840,0.039,0.41,164.24,FALSE,lcREEK5HbRDwVlk2w1w
1229,LilyPond.Foster.2002,lcRXIhycNvd9U2Xmlpn,3550,20,8,1360,0.723,0.2,81.97,FALSE,lcRVPI5wb5qmSsCsr0J
1230,LilyWarwick.Fuller.1998,lcRENeTb6cCUPmE7tzt,1270,20,6,340,0.293,0.15,66.47,FALSE,lcRs8jVEbebal9bNmWS
1231,LimaBog.Baker.1992,lcR8scDl7B6MGNKovRy,11690,90,5,4460,0.947,0.65,92.18,FALSE,lcREtTxZbai8q2wSqG6
1232,Linden.vanderKnaap.1997,lcRJTIAeXXRl53X6pTu,11490,100,7,4030,0.02,0.35,262.26,FALSE,lcR034yEF2a1vZGSHBR
1233,Lindenmoos.Bortenschlager.1984,lcReLNxYXtdtJ5Gby8Q,11200,180,5,3560,0.019,0.41,222.72,FALSE,lcR6Fl1TXEHYDsiTkHN
1234,Lingreville.Billard.1995,lcRTGgDod0y1oxVryhm,3880,140,5,2010,0.009,0.16,97.91,FALSE,lcRDCZQovNcGNtupuho
1235,LinsleyPond.Brugam.1978,lcRwXvRp62oY5quIclv,1100,30,5,440,0.331,0.4,99.93,FALSE,lcR68pAbdTrJNjdlx79
1236,LiptovskyJan.author.1111,lcRsKPen7yDmzoFR26a,11600,150,7,3010,0.232,0.36,203.33,FALSE,lcREhJ9LpNuKr3HvyNs
1237,Lisletjonn.Birks.2007,lcRqbf9ebCNXfE9eisJ,10490,220,5,4360,0.007,0.43,108.76,FALSE,lcRZQzYqHwTqSoO1l6p
1238,LitenCappesjavri.Huntley.2013,lcRbrhbDKTjRPWVQsE6,11900,200,18,970,0.26,0.28,151.01,FALSE,lcRiMc1Jt8h5eRufGkJ
1239,Litlvatnet.Bjune.2009,lcRukEb6BnbJCwvGQcS,11980,210,5,2750,0.013,0.44,185.08,TRUE,lcR0DiEbfKXSoG89pXT
