"time","CNA","EAS","ECA","ENA","ESAF","ESB","GIC","MED","NCA","NEAF","NEN","NES","NEU","NWN","NWS","NZ","RFE","SAH","SAM","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF","WSB","EAN","SSA"
4200,-0.226552443051561,-0.161447657664555,0.453662930057815,0.590682622860435,1.13565038183965,0.0125569187648967,0.471846637415934,0.222410944166275,0.539645341214474,-0.542796223162609,0.694407947277893,-0.298270570899885,-0.35655094022359,-0.08447369074843,0.451711551960845,-0.159335392387064,0.680752549265117,-0.326627310569484,0.0437288347210227,-0.0602996284036894,-0.0275817711771242,0.345365668997967,0.704663847808556,-0.611204343043005,-0.598944389974931,0.225528084558906,0.675707968886033,0.682997305982073,0.353233732965292,0.600584355740966,0.811272678145358,-0.418655975309198
4300,-0.367284352023411,-0.16033732594519,0.017349682342251,0.625324814959343,0.713905521545985,0.42520870859624,0.460101077786038,0.613260158839729,0.643448327032125,-0.305595527170594,0.719656642113075,-0.343264507728369,-0.338537768002916,-0.0947587424448997,0.405012279617019,-0.133920421143505,0.638600714523514,-0.397302549922825,0.0612477451996304,0.00140548671344556,-0.00407801740646345,0.0373395064569075,0.65354314885284,-0.423025058977288,-0.259574134781591,0.0927147716372246,0.614640063329527,0.417651898550818,0.308863866229112,0.82260311064527,0.253217796936306,-0.36749513437425
4400,-0.662748515276463,-0.313164115138753,0.340285277327049,0.707306625670799,0.494282673508464,0.689293639857413,0.445274624500858,0.48250759055426,0.892170108607697,-0.295027468372944,0.706959842054594,-0.340990053915291,-0.119083865062896,-0.162805885486197,0.629445803396532,-0.218086921062032,0.556881382438052,-0.405227005085831,-0.013988551250662,-0.239382265729896,0.79576535125244,0.0910839403259476,0.749927866744323,-0.392651772458972,-0.404633448207929,-0.00787102593989829,0.596119154232742,0.312416151565886,0.214238596972707,0.794686031772567,0.824194400578817,-0.436153527899177
4500,-0.74616975095905,-0.203007534040895,-0.0422973051884237,0.624322237268893,0.386434809798211,0.438550197523399,0.418188889498414,0.5082692964288,0.731336428978777,-0.511808855731958,0.61253795386138,-0.291385268467884,-0.265277510942166,-0.0330478394991733,0.559529749703643,-0.433224051136477,0.194997018735006,-0.364462018823758,0.096710180121675,-0.305005606963445,0.709845208710393,-0.15916299811768,0.957042173917635,-0.332625143738396,-0.219484029653646,-0.0308705728173198,0.771531882804076,0.344381697851642,0.245003044546148,0.776003141602348,0.290502037422337,-0.617526520309315
4600,-0.656216599962649,-0.151104958944737,-0.0514580056018513,0.506697260773744,0.491575035573375,0.76652130860241,0.473699459573559,0.565329707923895,0.308788689488342,-0.449598922294395,0.543294315632348,-0.35774697123562,-0.281344959391496,-0.079043761669699,0.32533062701468,-0.722551863627801,0.625200528758219,-0.715966682993516,0.0184740036427003,-0.184583455146108,0.508685792796533,-0.030317873941488,0.777317311239781,-0.156403684125631,-0.2015435873222,-0.0210164465932408,0.757607595723362,0.638124082642588,0.484128778124056,0.725461720947495,0.405062793560148,-0.561243705296689
4700,-0.636444277809695,-0.0263484297533539,0.0463766287786709,0.477221208702143,1.44666342952246,1.48541370322913,0.486332449419191,0.452948109530147,-0.158402703943046,-0.421391519318315,0.696956879775214,-0.328124204311232,-0.510106554021782,-0.106236939328536,0.358665356588612,-0.229053990504988,0.795686660960755,-0.419616798938944,-0.151121103716149,-0.110497300311143,0.152992324572781,0.189569264023385,0.662735143723177,-0.381655496338913,-0.142149244556193,-0.173341142050748,0.831094134119738,0.378150298204254,0.224244978043254,0.678539013651599,0.499430281299605,-0.631747349253103
4800,-0.587415664382112,-0.039356418088054,-0.0681228036564471,0.438182788329806,0.938045027616508,1.59851207590724,0.501275889953199,-0.00286999970172726,0.513247273920934,-0.319773491135648,0.423010631535447,-0.24423964302458,-0.50031672845707,-0.111549527332813,0.17033420986581,-0.269162281472363,0.793563102204763,-0.415672376682805,-0.265319171716682,0.216712591310823,0.254327890487284,0.396587273176038,0.743827608416956,-0.230560856864346,0.117050369605042,-0.145752499966817,0.826906662992663,0.347798381372239,0.164447931315072,0.622474584286407,0.0593160306085823,-0.419725058378721
4900,-1.04276860690543,0.210936665040412,0.302450415873342,0.587688607863695,0.675034158041682,1.46314409386108,0.465023522576669,0.507488133017907,-0.0676270494392238,-0.232635445840664,0.439818032402502,-0.285178459436871,-0.415904444171303,-0.0803894196150473,0.127623558230259,0.173237878591034,0.721190673865287,-0.463164735349932,-0.498983093763119,0.340472817965998,0.360745010892694,0.651070068596421,0.68334313985081,-0.0202162457000781,0.154855367936487,0.0486279332960715,0.76780134739323,0.117603589972351,0.463252464744752,0.596112593575135,0.943106035870568,-0.556983507006591
5000,-1.14016911286126,0.153966739484432,0.75680094749814,0.580134210840645,0.36907262944334,1.63360072625942,0.549251932513349,0.348106665383023,0.432267054363757,-0.145992335029905,0.602275659052947,-0.192866785313984,-0.525599864750232,-0.0740008620637132,0.256760540579639,0.296284776792885,0.686615816162399,-0.602815075057251,-0.470561266680533,0.259419198217014,0.431170634147347,0.246851208039871,0.522634707677521,0.172703425588572,-0.0671321817438486,0.0302278094390082,0.724734162776558,0.185683417221032,0.403758014062599,0.503784417638638,0.491071123682871,-0.568650782605924
5100,-1.04493944110609,0.282371809402271,0.338480722141918,0.449165238703013,0.501130061335152,1.64359250894565,0.573251409666046,0.0701567776063079,0.320023068580065,-0.186805191135846,0.487372027029986,-0.216025961911409,-0.722420149272362,-0.0720362958238108,-0.155504695097402,0.193030206600041,0.912069436496911,-0.484590965206685,-0.426543391028131,-0.0139843968209046,0.555078423759343,0.29572142581349,0.653779627074898,0.545091616857462,-0.0697900448128897,0.0701010605549824,0.579907849126635,0.0890113488272962,0.0253354656395272,0.418214664707359,1.1287050416952,-0.821739815584026
