"time","CNA","EAS","ECA","ENA","ESAF","ESB","GIC","MED","NCA","NEAF","NEN","NES","NEU","NWN","NWS","NZ","SAH","SAM","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF"
1700,0.698410910521269,-1.56699413506224,-0.15860019881104,0.806152198333812,0.141510403469641,0.594247589575445,0.479243983552252,-0.0819875075624364,0.118252727899793,-1.14680739864336,0.0795926408346235,0.566929473882992,0.20379783539726,0.0743118521589728,0.547708355537244,-0.508847079064591,-1.41076941958731,0.00482244933454473,-0.524271276783261,-0.547892805710265,-0.117275624618028,0.0242801635804733,-0.33950843601487,-1.3504669082506,-0.356060932659729,0.0764334314989936,0.605694477491214,0.906617449942378
1800,0.858806678877056,-1.57616887862536,-0.168188392548994,0.749422879733723,0.289528266950175,0.823594746165717,0.535030281312748,-0.0999498308582611,0.243739697755417,-1.14155087432528,0.133238735316534,0.537198988422914,0.0954013451921702,0.290788423142916,0.695114608944586,0.138220453141762,-1.40667004814772,-0.0983992542736806,-0.710785046688211,-0.591609622416549,-0.243259205553978,0.770118525912561,0.105159562593778,-0.986543265294895,-0.168911942576273,-0.0633632760729636,0.396409387616731,0.614217902391818
1900,1.09268691710858,-1.41779950259588,-0.00559494883070508,0.826988061644545,0.0620714931926158,0.854121807624295,1.38027259116222,-0.0904888624724384,0.337626413605084,-1.0494870866386,0.0937738271822252,1.15087582793406,-0.217387394437623,0.174880442407453,0.716213698771208,-0.179697616269561,-1.41221225755163,0.0180941459835747,-0.710785046688211,-0.561396644503371,0.111190320302368,0.813781883062991,0.0173859301181707,-0.81328995052639,-0.265324075014807,-0.0997484152710752,0.396956478791931,0.679422042243281
2000,0.654190664292207,-1.5582232645922,0.193231136710289,0.900790268010434,-0.100276902963415,0.995102367478651,0.620442343079308,0.0414374732522655,-0.203617410524622,-0.900747501926603,-0.0121149828335364,-0.164242492670016,0.0439500947825207,-0.140206853228381,0.675489957587795,-0.573009425590882,-1.32652612292625,-0.053076251512749,-0.710785046688211,-0.695874380271344,-0.144315990253479,0.234197351270977,0.189693080340226,-0.747702219816063,-0.414820944006601,0.014872076506845,0.124889554235148,1.01796784209987
2100,0.652713904530934,-1.4272135545873,0.0551148514662413,0.833347642115184,-0.0641926989914018,0.702632284181133,0.78098439041336,0.0362350353679128,-0.220012356523984,-0.857310738256118,-0.0480668874523237,-0.324143859516163,0.100034888216926,0.0791777884242818,0.551898946301986,-0.513362006436042,-1.25516320975597,-0.0791952261582287,-0.823959347914667,-0.745415748782608,-0.486808981797503,0.113408805907806,0.179346605179907,-0.868147710302529,0.0551260430521737,-0.000579156000901776,0.110416984234116,0.881514443877878
2200,0.710473122700192,-1.41262206247039,-0.342955138254455,0.831250738431978,-0.477861292842669,0.509044379100048,0.746524412474804,0.0585432043551229,-0.238312931048715,-0.376549256257545,-0.161354102353212,-0.141509562137234,-0.00827947773261569,0.215619919070995,0.370996447370996,-0.65783766163305,-1.25578652823823,0.202237094101571,-1.61301973038249,-0.528697547240964,0.114555894477428,0.295682827374137,0.121450708534171,-0.468194682635495,0.269559521287367,-0.123434951439562,0.0643354354499966,0.665528227694743
2300,0.655705853572944,-1.38100881771242,-0.00646325191317203,0.879501534991764,-0.355332307924198,0.324228488983322,0.455174048471174,0.0898936407557543,0.121828791802129,-0.816595554117484,-0.121575931141325,-0.105362428024908,0.0113882538129627,0.151151933034171,0.647443874233012,-0.0170968222259884,-1.25199322950186,0.618778343730674,-1.11867593885799,-0.486597193644451,0.058818413936293,0.762374393780652,0.164115117629772,-0.70472288714855,0.369854843495827,-0.23514808187095,0.0980887120311822,1.0021728328398
2400,0.846009892469312,-1.11225219604301,0.0257766930441722,0.846704222518958,-0.0973137240708534,0.25443906986752,0.435938349847592,0.216977369109579,-0.0903010374860409,-1.02910664070451,-0.267344512259938,-2.51854406635297,-0.0428951055740859,0.399041128876232,0.819107575476307,0.172312874645725,-1.22260925922441,0.438944342075801,-1.27405877043719,-0.424186868232385,0.0970603991552114,0.194916105933716,0.061301944738914,-1.10804902762464,0.0565594391017743,-0.13591345579864,-0.0258133835873439,0.391967596704927
2500,0.754287299431842,-1.23263134525925,-0.098927078747386,0.800934367766202,-0.170763097786522,0.561651228574204,0.271123535750388,0.1877911518177,0.0358751368952154,-0.919235981713279,-0.29820410793695,-2.98451438140404,-0.221185987908102,0.53111580934195,0.933094587295793,-0.23837923917857,-1.22314895960344,0.364077310000314,-1.33656243458281,-0.448279123760922,0.0985871213821226,0.0752666932060703,-0.211843053993538,-0.577803046553451,-0.332544796327154,-0.232122364329367,0.020440050629514,0.133962207384103
2600,0.868909575435527,-1.13330610066358,-0.122718134347046,0.721858551115187,0.0457586137313291,0.600239496079989,0.415232954626799,-0.0713340092887052,0.102405992555924,-0.795264930842058,-0.096775046185672,-2.21963430012697,-0.170700247472983,0.448514050375375,1.18680175515463,-0.509653878412657,-1.21495440413301,0.304229971700505,-0.558123281612737,-0.419443647159211,0.204316819469479,0.0622653724474998,-0.10659071776684,-0.816167648510152,-0.219839674616457,-0.316961318178967,0.105035811297998,0.149749588184556
2700,0.760697924145427,-1.24535668761657,-0.595254391801841,0.690411449407498,0.546528066227201,0.278031956071588,-0.290976357334315,-0.0562769280400754,-0.157193214059876,-0.94594344969032,0.159362461003393,-2.00706317408632,-0.08218485653859,0.191005139679703,0.740798703535335,-0.380543938271112,-1.21495440413301,0.307841756673563,0.326738345008793,-0.593084880101368,0.000749761930103517,0.172923610205541,0.0729139833899111,-1.0513831477329,-0.134425464920385,-0.238057315976171,0.0430790690722068,0.119911713106533
2800,0.675971961803162,-1.16854272864459,-0.526093602862213,0.650110789579747,0.565275851845903,0.180898489230984,-0.114261081234978,-0.334991095318008,-0.22843130410303,-0.402601794625756,0.310129339310628,-0.925078598551762,0.0461842623069116,0.141855150761952,0.889476981033064,-0.31470067397945,-1.21495440413301,-0.0143423677378659,-0.10115630464766,-0.814146062926812,0.141881405910921,0.0197671290016815,0.0988704563007162,-0.520328495153439,-0.0328738943219546,-0.219527261665231,0.00218965683224745,0.41512781620155
2900,0.657606700313388,-1.06795245978798,-0.594068468744587,0.608868141552268,0.311437296853457,0.00897278225022517,-0.0383786434730235,-0.261007349255671,-0.28421900392336,-0.692027128476054,0.427734135977351,-3.11314688956994,-0.0489158983738462,0.214747813495574,0.838988917488409,-0.270992484724869,-1.20546424704476,-0.211736988839834,-0.102628853748944,-0.859836718659316,-0.277282599908573,0.127395340229972,0.0988642414122462,-0.535765082403146,0.343063965671129,-0.239105532399093,0.143764688798158,0.359017009119452
3000,0.616999537315692,-1.18779357960363,-0.570791627511757,0.546677903193689,0.393023390311964,-0.450859265140909,0.43005017711479,-0.087607345148059,-0.288968230207758,-0.43772110926621,0.227928084482064,-2.86703720818199,-0.0737155940949544,0.114254957180476,0.874363976859057,-0.578260936914743,-1.17745317931543,-0.493651089790231,-0.500703802794462,-0.551535034069583,-0.0693647507681669,-0.0450684939663729,-0.33678944428318,-0.711813008288453,0.444348858125089,0.05988161401696,0.294025042873177,0.175038766159392
3100,0.682896717140316,-1.06080627760177,-0.156730910496317,0.572551509414922,0.165092271884716,-0.50225604014914,0.0167137151273152,-0.297535197506982,-0.350987296675506,-0.441174211321482,0.264642886190834,-1.59246831554662,-0.157744855830912,0.0559466992441002,0.82087430623277,-1.2607922532813,-1.17745317931543,-0.404056900800315,-0.873569081755564,-0.553517743332564,-0.0899662718036075,0.741277556506297,-0.898370649204354,-0.657713692785448,0.219186000283756,-0.0689891889898037,0.310245883171637,0.129365428354259
